"單位名稱","地址_縣市","地址_鄉鎮市區","地址","設立地址","機構狀態","服務類型","評鑑等級","未評鑑原因","電話","傳真","單位網址","單位電子信箱","服務可提供量","員工資訊","許可_總床數","護理人員_合計","醫事人員_合計",
"孝親護理之家","嘉義縣","水上鄉","南和村後寮2-2號","嘉義縣水上鄉南和村後寮2-2號","02","一般護理之家","<year=102&class=2>","","05-2683858","05-2603091","https://www.facebook.com/groups/143789429017099/#!/pages/%E5%AD%9D%E8%A6%AA%E8%AD%B7%E7%90%86%E4%B9%8B%E5%AE%B6/233599266682050","wadepzw@yahoo.com.tw","True","","138","10","2",
"私立大德護理之家","嘉義縣","中埔鄉","和睦村中華路268巷33號","嘉義縣中埔鄉和睦村中華路268巷33號","02","一般護理之家","<year=102&class=2>","","05-2308599","05-2309299","https://www.facebook.com/search/top/?q=%E9%95%B7%E9%A0%86%E8%AD%B7%E7%90%86%E4%B9%8B%E5%AE%B6&init=mag_glass&tas=0.055058875667558904&search_first_focus=1450856094619#!/pages/%E5%A4%A7%E5%BE%B7%E8%AD%B7%E7%90%86%E4%B9%8B%E5%AE%B6/437329396314632","afen0405@yahoo.com.tw","True","","99","8","0",
"臺中榮民總醫院灣橋分院附設護理之家","嘉義縣","竹崎鄉","灣橋村石麻園三十八號","嘉義縣竹崎鄉灣橋村石麻園三十八號","02","一般護理之家","<year=104&class=2>","","05 2791072","無","https://www.facebook.com/find-friends/browser/?ref=tn#!/pages/%E5%8F%B0%E4%B8%AD%E6%A6%AE%E6%B0%91%E7%B8%BD%E9%86%AB%E9%99%A2%E7%81%A3%E6%A9%8B%E5%88%86%E9%99%A2-%E5%BB%81%E6%89%80/226135884087332?rf=160153680718674","j084@vghtc.gov.tw","True","","75","6","0",
"嘉義縣私立梅山護理之家","嘉義縣","梅山鄉","中山路531號","嘉義縣梅山鄉中山路531號","02","一般護理之家","<year=103&class=3>","","05-2620602","無","https://www.facebook.com/嘉義縣私立梅山護理之家-242582425770961/?ref=br_rs","chms1011002@yahoo.com","True","","48","8","0",
"禾田護理之家","彰化縣","田中鎮","中州路一段144號","彰化縣田中鎮中州路一段144號","02","一般護理之家","<year=103&class=3>","","04-8762080","無","無","htnc8762080@yahoo.com.tw","True","","18","3","0",
"里仁診所附設護理之家","彰化縣","田中鎮","公館路283號1.3樓","彰化縣田中鎮公館路283號1.3樓","02","一般護理之家","<year=102&class=2>","","04-8762036","無","無","q2216550831@yahoo.com.tw","True","","46","3","0",
"員林郭醫院大村分院附設護理之家","彰化縣","大村鄉","田洋橫巷2之9號","彰化縣大村鄉田洋橫巷2之9號","02","一般護理之家","<year=104&class=1>","","04-8320152","無","http://www.kuohospital.com.tw/weboffice/ecard/NH/","nh8539888@yahoo.com.tw","True","","136","11","1",
"護康護理之家","彰化縣","埔心鄉","舊館村中興路158號","彰化縣埔心鄉舊館村中興路158號","02","一般護理之家","<year=103&class=3>","","04-8296000","無","無","hooo.care@msa.hinet.net","True","","200","15","0",
"衛生福利部彰化醫院附設護理之家","彰化縣","埔心鄉","中正路二段八十號","彰化縣埔心鄉中正路二段八十號","02","一般護理之家","<year=104&class=2>","","04-8298686","04-8281149","無","y23514188@gmail.com","True","","50","6","0",
"上好護理之家","彰化縣","社頭鄉","湳雅村新雅路3-12號","彰化縣社頭鄉湳雅村新雅路3-12號","02","一般護理之家","<year=102&class=1>","","04-8727493","04-8711085","無","topbest.liu@msa.hinet.net","True","","45","5","0",
"仁道護理之家","彰化縣","社頭鄉","山腳路2段95巷29號","彰化縣社頭鄉山腳路2段95巷29號","02","一般護理之家","<year=104&class=2>","","04-8738389","無","","rendao.liu@msa.hinet.net","True","","122","10","0",
"卓醫院附設護理之家","彰化縣","北斗鎮","中山路一段311號2.6樓","彰化縣北斗鎮中山路一段311號2.6樓","02","一般護理之家","<year=103&class=1>","","04-8882995","無","http://www.chohp.com.tw/profile_list.php","chonh308@gmail.com","True","","70","9","0",
"慈心護理之家","彰化縣","北斗鎮","興農路二段一五六號","彰化縣北斗鎮興農路二段一五六號","02","一般護理之家","<year=104&class=1>","","04-8885616","04-8885705","","n14309211@yahoo.com.tw","True","","167","6","0",
"彰化基督教醫療財團法人附設二林基督教護理之家","彰化縣","二林鎮","安和街40巷28號","彰化縣二林鎮安和街40巷28號","02","一般護理之家","<year=103&class=3>","","048952031#8025","04-8966991","無","36771@cch.org.tw","True","","111","7","0",
"洪宗鄰醫院附設護理之家","彰化縣","二林鎮","二溪路2段269號","彰化縣二林鎮二溪路2段269號","02","一般護理之家","<year=102&class=1>","","04-8955555","無","http://www.htlh.com.tw/nh/","hong.hn@msa.hinet.net","True","","200","15","0",
"東明護理之家","彰化縣","二林鎮","斗苑路三段390巷77號","彰化縣二林鎮斗苑路三段390巷77號","02","一般護理之家","<year=104&class=1>","","04-8956136","04-8955543","http://www.8956136.com.tw/","jerry.org101@ yahoo.com.tw","True","","158","12","1",
"名倫護理之家","彰化縣","溪州鄉","大庄村田中路49-30號","彰化縣溪州鄉大庄村田中路49-30號","02","一般護理之家","<year=104&class=1>","","04-8806666","04-8803939","http://www.8806666.hos.tw/","minglun.nursing@msa.hinet.net","True","","199","9","0",
"南基醫院附設護理之家","南投縣","南投市","中興路870號七、八樓","南投縣南投市中興路870號七、八樓","02","一般護理之家","<year=102&class=3>","","049-2203522","049-2203522","http://www2.cch.org.tw/nyweb/view_news.aspx?id=178","607540@cch.org.tw","True","","75","6","0",
"私立永安護理之家","南投縣","南投市","南區路53號","南投縣南投市南鄉路53號","02","一般護理之家","<year=104&class=3>","","049-2242655","049-2242646","http://www.yeongan.com.tw/","hpvip888@yahoo.com.tw","True","","159","14","0",
"衛生福利部南投醫院南投院區附設護理之家","南投縣","南投市","復興路478號","南投縣南投市復興路478號","02","一般護理之家","<year=104&class=2>","","049-2231150","049-2221302","http://www.nant.mohw.gov.tw/?aid=52&pid=44&page_name=detail&iid=195","N00531@nant.mohw.gov.tw","True","","58","6","0",
"埔基醫療財團法人埔里基督教醫院附設護理之家","南投縣","埔里鎮","鐵山路1號","南投縣埔里鎮鐵山路1號","02","一般護理之家","<year=104&class=1>","","049-2912151","049-2912947","http://spweb.pch.org.tw/SitePages/%e8%ad%b7%e7%90%86%e4%b9%8b%e5%ae%b6.aspx","paoju@mail.pch.org.tw","True","","63","6","0",
"臺中榮民總醫院埔里分院附設護理之家","南投縣","埔里鎮","榮光路1號","南投縣埔里鎮榮光路1號","02","一般護理之家","<year=104&class=2>","","049-2990833","049-2998931","http://www.pulivh.gov.tw/web/03dep/03_8nurse_1.htm","vhpla0203@mail.vghtc.gov.tw","True","","98","8","0",
"群策大愛護理之家","南投縣","草屯鎮","新豐路728巷16號","南投縣草屯鎮新豐路728巷16號","02","一般護理之家","<year=104&class=2>","","049-2355285","049-2355286","http://www.ctda.com.tw/","d2355285@yahoo.com.tw","True","","148","16","1",
"吉康護理之家","南投縣","草屯鎮","省府路200號","南投縣草屯鎮省府路200號","02","一般護理之家","<year=104&class=2>","","049-2339933","049-2317531","http://www.cheekang.porg.tw/","cheekang393@yahoo.com.tw","True","","99","8","0",
"康乃心護理之家(原永康護理之家)","屏東縣","屏東市","忠孝路580號","屏東縣屏東市忠孝路580號","02","一般護理之家","<year=103&class=3>","","08-7326011","08-7383977","http://shuhao.web44.net/c.html","7383977diarrhea0812@yahoo.com.tw","True","","79","6","0",
"凱悅護理之家","屏東縣","屏東市","仁義里5鄰海豐街82號","屏東縣屏東市仁義里5鄰海豐街82號","02","一般護理之家","<year=104&class=3>","","08-7389500","08-7388060","http://kaiyue.tw/","7389500@gmail.com","True","","70","6","0",
"衛生福利部屏東醫院附設護理之家","屏東縣","屏東市","自由路270號","屏東縣屏東市自由路270號","02","一般護理之家","<year=104&class=2>","","08-7363011","08-7368665","v.tw/?aid=52&pid=86&page_name=detail&iid=139","tjeng666@pntn.doh.gov.tw","True","","124","22","0",
"寶建醫療社團法人附設春風護理之家","屏東縣","屏東市","自由路650之1號3-5樓","屏東縣屏東市自由路650之1號3-5樓","02","一般護理之家","<year=102&class=2>","","08-7665987","08-7339628","無","n4032@mail.paochien.com.tw","True","","259","11","2",
"民眾醫院附設護理之家","屏東縣","屏東市","忠孝路120-1號2樓","屏東縣屏東市忠孝路120-1號2樓","02","一般護理之家","<year=104&class=3>","","08-7325455#200","08-7653963","http://hospital-ez.com.tw/home/index1.htm","c8662062@yahoo.com.tw","True","","32","5","0",
"向日葵護理之家","屏東縣","屏東市","忠孝路476號","屏東縣屏東市忠孝路476號","02","一般護理之家","<year=102&class=2>","","08-7336161","無","無","u000119@yahoo.com.tw","True","","72","9","1",
"健安護理之家","屏東縣","屏東市","復興南路一段108巷26號","屏東縣屏東市復興南路一段108巷26號","02","一般護理之家","<year=103&class=3>","","08-7526600","08-7561110","無","7526600@gmail.com","True","","78","7","1",
"屏基醫療財團法人附設屏基護理之家","屏東縣","屏東市","華山里瑞光路三段96號","屏東縣屏東市華山里瑞光路三段96號","02","一般護理之家","<year=104&class=1>","","08-7373515","08-7377281","http://www.ptch.org.tw/ptch_nursi/main/nursiindex.html","nursehome@ptch.org.tw","True","","95","9","0",
