"單位名稱","地址_縣市","地址_鄉鎮市區","地址","設立地址","機構狀態","服務類型","評鑑等級","未評鑑原因","電話","傳真","單位網址","單位電子信箱","服務可提供量","員工資訊","許可_總床數","護理人員_合計","醫事人員_合計",
"高雄市立凱旋醫院附設大寮精神護理之家","高雄市","大寮區","內坑路180號","高雄市大寮區內坑路180號","2","精神護理之家","<year=103&class=合格>","","07-7818105","07-7818120","http://ksph.kcg.gov.tw/03.htm","(無)","TRUE","FALSE","347","23","26",
"玉發園精神護理之家","高雄市","岡山區","通校路290號","高雄市岡山區通校路290號","2","精神護理之家","<year=103&class=合格>","","07-6250268","07-6256792","http://www.lokan.com.tw/yu","yu6250268@lokan.com","TRUE","FALSE","99","7","8",
"龍華精神護理之家","高雄市","旗山區","花旗二路302巷1號1樓","高雄市旗山區花旗二路302巷1號1樓","2","精神護理之家","(無)","3","07-6621495","07-6618954","(無)","longhua1055@gmail.com","TRUE","FALSE","80","6","7",
"約生精神護理之家","高雄市","旗山區","環湖路69號","高雄市旗山區環湖路69號","2","精神護理之家","<year=105&class=合格>","","07-6611333","07-6626150","(無)","r680924joyce@yahoo.com.tw","TRUE","FALSE","90","6","7",
"北新醫院附設精神護理之家","新北市","淡水區","忠寮里演戲埔腳1之2號2樓","新北市淡水區忠寮里演戲埔腳1之2號2樓","2","精神護理之家","<year=103&class=合格>","","02-26209199","02-26209197","http://www.peihsin.com.tw","nursinghouse@peihsin.com.tw","TRUE","FALSE","29","2","2",
"私立晨恩精神護理之家","新北市","淡水區","賢孝里番子田132號1、2樓","新北市淡水區賢孝里番子田132號1、2樓","2","精神護理之家","<year=105&class=合格>","","02-28011697","02-28011757","http://www.晨恩.tw/","cn28011697@yahoo.com.tw","TRUE","FALSE","76","4","5",
"元康精神護理之家","新北市","汐止區","大同路三段369巷26號1~3樓","新北市汐止區大同路三段369巷26號1~3樓","2","精神護理之家","<year=105&class=合格>","","02-86481027","02-86476305","(無)","yuankang0201@gmail.com","TRUE","FALSE","42","5","5",
"家妘精神護理之家","新北市","蘆洲區","長榮路410號2-4樓","新北市蘆洲區長榮路410號2-4樓","2","精神護理之家","<year=105&class=不合格>","","02-82823635","02-82838519","(無)","jypnh410@gmail.com","TRUE","FALSE","38","6","6",
"敏金精神護理之家","新北市","蘆洲區","光明路85巷15號1-3樓","新北市蘆洲區光明路85巷15號1-3樓","2","精神護理之家","<year=105&class=不合格>","","02-82838218","02-82838786","(無)","(無)","TRUE","FALSE","22","5","6",
"私立樂活精神護理之家","新北市","深坑區","北深路三段141巷24號2樓","新北市深坑區北深路三段141巷24號2樓","2","精神護理之家","<year=104&class=合格>","","02-86626930","02-86626932","(無)","he460327@hotmail.com.tw","TRUE","FALSE","52","5","6",
"私立樂天精神護理之家","新北市","深坑區","北深路三段141巷24號3樓","新北市深坑區北深路三段141巷24號3樓","2","精神護理之家","<year=104&class=合格>","","02-86626001或02-86626011","02-86626932","(無)","Wens2022@gmail.com","TRUE","FALSE","50","5","5",
"衛生福利部八里療養院附設精神護理之家","新北市","八里區","華富山33號","新北市八里區華富山33號","2","精神護理之家","<year=103&class=合格>","","02-26101660轉3710或3810","02-26100279","http://www.bali.mohw.gov.tw/","bali@balipc.gov.tw","TRUE","FALSE","174","12","12",
"清濱醫院附設精神護理之家","臺中市","清水區","港埠路四段195號3樓~5樓","臺中市清水區港埠路四段195號3樓~5樓","2","精神護理之家","<year=105&class=合格>","","04-26282267","04-26282265","http://www.chibibing.url.tw","c26282267@yahoo.com.tw","TRUE","FALSE","74","7","7",
"明德醫院附設精神護理之家","臺中市","太平區","樹孝路413號","臺中市太平區樹孝路413號","2","精神護理之家","<year=104&class=合格>","","04-23912681","04-23912680","(無)","mdpsy99@yahoo.com.tw","TRUE","FALSE","58","5","5",
"信和精神護理之家","臺中市","大里區","中投西路三段219號6樓及7樓","臺中市大里區中投西路三段219號6樓及7樓","2","精神護理之家","<year=105&class=合格>","","04-24181777","04-24181555","http://www.ctda.com.tw/ctda2196/ctda2196.html","ctda1777@ctda.com.tw","TRUE","FALSE","99","6","7",
"心晴精神護理之家","臺南市","新營區","復興路863號","臺南市新營區復興路863號","2","精神護理之家","(無)","3","06-6531115","06-6520002","(無)","sunnypnh@gmail.com","TRUE","FALSE","20","4","4",
"文華精神護理之家","臺南市","學甲區","光華里頭港子29之8號","臺南市學甲區光華里頭港子29之8號","2","精神護理之家","<year=104&class=合格>","","06-7831151","06-7831153","http://www.wenhualtc.com.tw","wenhualtc@gmail.com","TRUE","FALSE","96","5","6",
"衛生福利部嘉南療養院附設精神護理之家","臺南市","仁德區","中山路870巷80號","臺南市仁德區中山路870巷80號","2","精神護理之家","<year=103&class=合格>","","06-2795019","(無)","http://www.cnpc.mohw.gov.tw","r100@mail.cnpc.gov.tw","TRUE","FALSE","50","6","6",
"高雄榮民總醫院臺南分院附設精神護理之家","臺南市","永康區","復興路427號","臺南市永康區復興路427號","2","精神護理之家","<year=103&class=合格>","","06-3125101轉2319或2323","06-3129843","http://www.vhyk.gov.tw","(無)","TRUE","FALSE","45","6","6",
"如苑精神護理之家","桃園市","桃園區","復興路98號2樓","桃園市桃園區復興路98號2樓","2","精神護理之家","<year=104&class=合格>","","03-3352662","03-3352662","(無)","L0955593671@gmail.com","TRUE","FALSE","25","7","7",
"樂家精神護理之家","桃園市","中壢區","高鐵南路三段657巷3號","桃園市中壢區高鐵南路三段657巷3號","2","精神護理之家","<year=104&class=合格>","","03-4273886","03-4273958","http://www.sheyher.com.tw/","wayne.lo@sheyher.com.tw","TRUE","FALSE","85","7","8",
"私立至善園精神護理之家","桃園市","大溪區","信義路712號","桃園市大溪區信義路712號","2","精神護理之家","<year=103&class=合格>","","03-3888808","03-3881899","http://www.zbishan712.url.tw","zbishan712@gmail.com","TRUE","FALSE","145","8","11",
"桃園縣私立龍祥精神護理之家","桃園市","龍潭區","高平村高楊南路97-1號A棟1-3樓及B棟2-3樓","桃園市龍潭區高平里高楊南路97-1號A棟1-3樓及B棟2-3樓","2","精神護理之家","<year=103&class=合格>","","03-4719302","03-4116429","(無)","ls97_1@yahoo.com.tw","TRUE","FALSE","165","13","16",
