"單位名稱","地址_縣市","地址_鄉鎮市區","地址","設立地址","機構狀態","服務類型","服務區域","電話","傳真","單位網址","單位電子信箱","護理人員_合計","照護服務員_合計",
"財團法人彰化縣家樂福人文生活關懷協進會","彰化縣","員林鎮","林森路231巷1號","彰化縣員林鎮林森路231巷1號","2","居家喘息","彰化縣彰化市,彰化縣和美鎮,彰化縣伸港鄉,彰化縣線西鄉,彰化縣員林市,彰化縣大村鄉,彰化縣埔心鄉,彰化縣永靖鄉,彰化縣田尾鄉,彰化縣秀水鄉,彰化縣社頭鄉,彰化縣田中鎮,彰化縣二水鄉,彰化縣北斗鎮,彰化縣溪州鄉,彰化縣埤頭鄉,彰化縣竹塘鄉,彰化縣鹿港鎮,彰化縣福興鄉,彰化縣埔鹽鄉,彰化縣溪湖鎮,彰化縣二林鎮,彰化縣芳苑鄉,彰化縣大城鄉","04-8358882","04-8360246","無","無","","",
"中華民國弘揚看護協會","彰化縣","溪湖鎮","湳底路102-31號","彰化縣溪湖鎮湳底路102-31號","2","居家喘息","彰化縣彰化市,彰化縣和美鎮,彰化縣芬園鄉,彰化縣花壇鄉,彰化縣伸港鄉,彰化縣線西鄉,彰化縣員林鎮,彰化縣大村鄉,彰化縣埔心鄉,彰化縣永靖鄉,彰化縣田尾鄉,彰化縣秀水鄉","04-8827589","04-8819101","無","無","","",
"財團法人彰化縣私立希望社會福利慈善事業基金會","彰化縣","大村鄉","田洋橫巷2-7號","彰化縣大村鄉田洋橫巷2-7號","2","居家喘息","彰化縣員林鎮,彰化縣大村鄉,彰化縣埔心鄉,彰化縣永靖鄉,彰化縣田尾鄉,彰化縣秀水鄉","04-8536868","04-8524595","無","無","","",
"員林郭醫院附設護理之家","彰化縣","大村鄉","田洋橫巷2-9號","彰化縣大村鄉田洋橫巷2-9號","2","居家喘息","彰化縣員林鎮","04-8539888","04-8525966","http://www.kuohospital.com.tw/","nh8539888@yahoo.com.tw","","",
"財團法人彰化縣私立慈恩老人養護中心","彰化縣","二林鎮","光復路61巷20號","彰化縣二林鎮光復路61巷20號","2","居家喘息","彰化縣二林鎮,彰化縣二水鄉,彰化縣伸港鄉,彰化縣北斗鎮,彰化縣和美鎮,彰化縣員林市,彰化縣埔心鄉,彰化縣埔鹽鄉,彰化縣埤頭鄉,彰化縣大城鄉,彰化縣大村鄉,彰化縣彰化市,彰化縣永靖鄉,彰化縣溪州鄉,彰化縣溪湖鎮,彰化縣田中鎮,彰化縣田尾鄉,彰化縣社頭鄉,彰化縣福興鄉,彰化縣秀水鄉,彰化縣竹塘鄉,彰化縣線西鄉,彰化縣芬園鄉,彰化縣花壇鄉,彰化縣芳苑鄉,彰化縣鹿港鎮","04-8683143、04-8681199*119","04-8681379","http://www.caress.org.tw/","a8681199@yahoo.com.tw","","",
"華康居家護理所","屏東縣","屏東市","民生東路76-3號4樓","屏東縣屏東市民生東路76-3號4樓","2","居家喘息,居家護理","屏東縣屏東市,屏東縣,屏東市","08-7223331","08-7216203","無","r122796@yahoo.com.tw","0","0",
"民暉居家護理所","屏東縣","萬丹鄉","中興路二段476號","屏東縣萬丹鄉中興路二段476號","2","居家喘息,居家護理","屏東縣內埔鄉,屏東縣潮州鎮,屏東縣屏東市","08-7760666","08-7763285","無","kuo1234@yahoo.com.tw","0","0",
"財團法人台北市中國基督教靈糧世界佈道會士林靈糧堂","基隆市","中正區","中船路11號4樓","基隆市中正區中船路11號4樓","2","居家喘息","基隆市","02-24225570#12","02-24225571","無","kldaycare@slsc.org.tw","0","0",
"新竹市私立欣安老人養護中心","新竹市","東區","南大路428號2樓","新竹市東區南大路428號2樓","2","居家喘息","新竹市","03-5629737","03-5613561","http://www.sinan.tw/","w0001010@yahoo.com.tw","2","7",
"社團法人嘉義縣勞動力服務人員職業工會","嘉義市","西區","國華街245號7樓之9","嘉義市西區國華街245號7樓之9","2","居家喘息","嘉義市","05-2255718","05-2259605","http://cylabor.byethost9.com/wordpress/","wfsu.cyc@msa.hinet.net","0","3",
"社團法人新北市身心障礙者福利處進協會","臺北市","中山區","興安街83號1樓","台北市中山區興安街83號1樓","2","居家喘息","台北市文山區,台北市大安區,台北市松山區,台北市信義區","02-22500177","02-22500403","http://www.gottocare.org.tw","pmtpe@ilive.org.tw","","",
"財團法人弘道老人福利基金會","高雄市","左營區","自由二路309號3樓","高雄市左營區自由二路309號3樓","2","居家服務,居家喘息","高雄市鹽埕區,高雄市鼓山區,高雄市左營區,高雄市楠梓區,高雄市三民區,高雄市鳳山區,高雄市林園區,高雄市大寮區,高雄市前金區,高雄市三民區","07-5563225","07-5563233","http://www.hondao.org.tw ","hondao.south@hondao.org.tw","","",
"高雄市私立安康養護之家","高雄市","左營區","曾子路211號","高雄市左營區曾子路211號","2","居家喘息","高雄市三民區,高雄市鹽埕區,高雄市鼓山區,高雄市楠梓區,高雄市左營區,高雄市仁武區,高雄市大社區","07-3644351","07-3610761","無","ankang1008@yahoo.com.tw","0","0",
"高雄市私立崇恩老人長期照顧中心(養護型)","高雄市","楠梓區","立仁街131號5樓","高雄市楠梓區立仁街131號5樓","2","居家喘息","高雄市楠梓區","07-3539619","07-3520967","http://chong-en-group.com.tw/","Benkung0819@gmail.com","0","12",
"高雄市私立禾康養護之家","高雄市","楠梓區","惠民路208號","高雄市楠梓區惠民路208號","2","居家喘息","高雄市梓官區,高雄市岡山區,高雄市橋頭區,高雄市大社區,高雄市仁武區,高雄市楠梓區,高雄市左營區,高雄市鼓山區","07-3644351","07-3610761","無","ankang1008@yahoo.com.tw","0","0",
"高雄市私立新禾康養護之家","高雄市","楠梓區","惠民路210號","高雄市楠梓區惠民路210號","2","居家喘息","高雄市橋頭區,高雄市鼓山區,高雄市楠梓區,高雄市梓官區,高雄市左營區,高雄市仁武區,高雄市大社區","07-3644351","07-3610761","無","ankang1008@yahoo.com.tw","0","0",
"高雄市私立新松柏養護之家","高雄市","三民區","十全二路323號4樓","高雄市三民區十全二路323號4樓","2","居家喘息","高雄市前鎮區,高雄市苓雅區,高雄市前金區,高雄市左營區,高雄市三民區","07-3229507","07-3131099","http://3229507.hoseo.tw/","Hsb.care@msa.hinet.net","0","0",
"一祥居家護理所","高雄市","三民區","民族一路732-1號2樓","高雄市三民區民族一路732-1號2樓","2","居家喘息,居家護理","高雄市","07-3464221,07-3463693","07-3464148","無","e3333angel@yahoo.com.tw","1","0",
"高雄市私立安仁老人長期照顧中心(養護型)","高雄市","前鎮區","3鄰和平二路203號4樓","高雄市前鎮區3鄰和平二路203號4樓","2","居家喘息","高雄市前鎮區,高雄市苓雅區,高雄市前金區,高雄市左營區,高雄市三民區,高雄市小港區,高雄市前鎮區,高雄市苓雅區,高雄市新興區,高雄市楠梓區,高雄市鼓山區,高雄市旗津區,高雄市鳳山區,高雄市鳥松區,高雄市大社區,高雄市大寮區,高雄市林園區,高雄市大樹區","07-7222333","07-7667059","無","Lon6299@yahoo.com.tw","0","0",
"臨海醫院附設護理之家","高雄市","小港區","沿海一路455、461號5-6樓","高雄市小港區沿海一路455、461號5-6樓","02","居家喘息","高雄市小港區","07-8012171#2505","07-8035246","http://www.linhai.com.tw/","linhainursinghome@gmail.com","0","1",
"高雄市照顧服務人力協會","高雄市","鳳山區","中華街111號","高雄市鳳山區中華街111號","2","居家喘息","高雄市路竹區,高雄市鳳山區,高雄市梓官區,高雄市苓雅區,高雄市岡山區,高雄市左營區,高雄市三民區,高雄市仁武區,高雄市前鎮區","07-7403665","07-7453635","無","takh4321@yahoo.com.tw","0","0",
"社團法人台灣惠安慈善會","高雄市","岡山區","自由巷20號","高雄市岡山區自由巷20號","2","居家喘息","高雄市路竹區,高雄市岡山區,高雄市橋頭區,高雄市梓官區,高雄市燕巢區,高雄市楠梓區,高雄市阿蓮區,高雄市田寮區,高雄市大寮區","07-6258522","07-6257909","無","hueyan@kimo.com","0","1",
"松和護理之家","高雄市","燕巢區","角宿里中興路952","高雄市燕巢區角宿里中興路952號1-2樓","02","居家喘息","高雄市燕巢區","07-6140507","07-6140562","無","y650831@ms72.hinet.net","0","0",
"燕巢靜和醫療社團法人附設燕巢靜和護理之家","高雄市","燕巢區","深水里3-20號4樓","高雄市燕巢區深水里3-20號4樓","02","居家喘息","高雄市燕巢區","07-6156555#205","無","無","kuyin3641@yahoo.com.tw","8","23",
"社團法人新北市身心障礙者福利促進協會","新北市","板橋區","文化路二段453號3樓","新北市板橋區文化路二段453號3樓","2","居家喘息","新北市泰山區,新北市新莊區,新北市中和區","02-22500177","02-22500403","www.gottocare.org.tw","cs@ilive.org.tw","","",
"社團法人台中市照顧服務管理協進會","臺中市","東區","自由路三段297巷11號","台中市東區自由路三段297巷11號","2","居家喘息","台中市太平區,台中市西區,台中市大里區,台中市南屯區,台中市東區,台中市中區,台中市大雅區,台中市北屯區,台中市西屯區,台中市北區","04-22113361","無","無","l0045921@yahoo.com.tw","0","7",
"有限責任台中市居家照顧服務勞動合作社","臺中市","北區","衛道路155-2號","台中市北區衛道路155-2號","2","居家喘息","台中市北區,台中市中區,台中市南f區,台中市西屯區","04-22354840","04-22359553","無","kevin950088@kimo.com","0","0",
"有限責任台灣全人照顧服務勞動合作社","臺中市","北區","華美街二段254號","台中市北區華美街二段254號","2","居家喘息","台中市南區,台中市西屯區,台中市南屯區,台中市西區,台中市北區,台中市太平區,台中市豐原區,台中市大里區","04-22954287","04-22954253","http://www.careservice.org.tw/","org0919@yahoo.com.tw","0","3",
"林燕玲居家護理所","臺中市","豐原區","南陽路123巷81弄13號","台中市豐原區南陽路123巷81弄13號","2","居家喘息","台中市后里區,台中市豐原區,台中市北屯區","04-25254607","04-25123617","無","inch79326@hotmail.com","0","0",
"台中直轄市病患家事服務職業工會","臺中市","豐原區","安康路107號","台中市豐原區安康路107號","2","居家喘息","台中市豐原區,台中市石岡區,台中市潭子區,台中市神岡區,台中市大雅區,台中市沙鹿區,台中市北屯區,台中市新社區,台中市后里區","04-25203791","04-25203342","無","ruru6899@yahoo.com.tw","0","14",
"社團法人台中市蓮心自強服務協會","臺中市","大甲區","和平路266號","台中市大甲區和平路266號","2","居家喘息","台中市大甲區","04-26805843","無","無","tc463.tc@msa.hinet.net","0","0",
"有限責任博愛勞動合作社","臺中市","大甲區","大智街129巷16弄8號","台中市大甲區大智街129巷16弄8號","2","居家喘息","台中市大甲區,台中市沙鹿區,台中市清水區,台中市北區,苗栗縣","04-26885459","04-26878189","無","lenshen168@yahoo.com.tw","1","41",
"社團法人中華慈心照顧服務關懷協會","臺中市","潭子區","嘉豐路338巷52號1樓","台中市潭子區嘉豐路338巷52號1樓","2","居家喘息","台中市潭子區,台中市豐原區,台中市霧峰區,台中市大里區,台中市太平區,台中市東區,台中市中西區,台中市西屯區,台中市北區,台中市北屯區,台中市南區,台中市南屯區","04-35080235","04-25362572","http://amey61.myweb.hinet.net/","Amy062388@yahoo.com.tw","0","20",
"陳智菁居家護理所","臺中市","外埔區","甲后路新城10巷18號","台中市外埔區甲后路新城10巷18號","2","居家喘息","台中市大甲區,台中市外埔區,台中市大安區","0963-128434","04-26765859","無","linda2660@hotmail.com","0","0",
"營新醫附設護理之家","臺南市","新營區","隋唐街228號","台南市新營區隋唐街228號","2","居家喘息","台南市官田區","06-6592345","06-6593593","http://www.evernew-hospital.com.tw","evernew.h888@msa.hinet.net","0","0",
"怡安護理之家","臺南市","永康區","南工街212巷13弄2號、2-1號","臺南市永康區南工街212巷13弄2號、2-1號","02","居家喘息","台南市永康區","06-2015382","06-2316328","無","qaddie@url.com.tw","5","14",
"有限責任台南市照顧服務勞動合作社","臺南市","安平區","平通路61號","台南市安平區平通路61號","2","家庭托顧服務,居家喘息","台南市安平區,台南市北區,東台南市區,台南市南區,台南市安南區,台南市永康區,台南市仁德區,台南市歸仁區,台南市東山區,台南市柳營區,台南市麻豆區,台南市新市區,台南市新營區","06-2937250","06-2958212","無","care.service@msa.hinet.net","","",
