"單位名稱","地址_縣市","地址_鄉鎮市區","地址","設立地址","機構狀態","服務類型","服務區域","電話","傳真","單位網址","單位電子信箱",
"台北榮民總醫院新竹分院(復建科)","新竹縣","竹東鎮","中豐一段81號","新竹縣竹東鎮中豐一段81號","2","居家復健","新竹縣竹東鎮,新竹縣關西鎮,新竹縣新埔鎮,新竹縣寶山鄉,新竹縣北埔鄉,新竹縣芎林鄉,新竹縣橫山鄉","03-5962134","03-5958713","無","14010@vhct,gov,tw",
"大千綜合醫院","苗栗縣","苗栗市","信義街36號","苗栗縣苗栗市信義街36號","2","居家復健","苗栗縣苗栗市","037-357125","037-366787","http://www.dachien.com.tw/","wenling74@gmail,com",
"財團法人台灣省私立桃園仁愛之家附設苗栗新生醫院","苗栗縣","苗栗市","新東街117號","苗栗縣苗栗市新東街117號","2","居家復健","苗栗縣竹南鎮,苗栗縣造橋鄉,苗栗縣頭份鎮","037-320988","無","無","wenling74@gmail,com",
"永旭診所","苗栗縣","苗栗市","建民街50號","苗栗縣苗栗市建民街50號","2","居家復健","苗栗縣三義鄉,苗栗縣卓蘭鎮,苗栗縣大湖鄉,苗栗縣泰安鄉","037-770067","無","無","wenling74@gmail,com",
"李綜合醫療社團法人苑裡李綜合醫院","苗栗縣","苑裡鎮","和平路168號","苗栗縣苑裡鎮和平路168號","2","居家復健","苗栗縣","037-862387,037-853668","037-862377","http://www.leehospital.com.tw/index.asp","luke0131@yahoo,com,tw",
"財團法人為恭紀念醫院","苗栗縣","頭份鎮","信義路128號","苗栗縣頭份鎮信義路128號","2","居家復健","苗栗縣竹南鎮,苗栗縣頭份鎮,苗栗縣南庄鄉","037-6768811","037-676826","http://www,weigong,org,tw","tunayuwei@weigong,org,tw",
"重光醫院","苗栗縣","頭份鎮","中華路1039號","苗栗縣頭份鎮中華路1039號","2","居家復健","苗栗縣頭份鎮,苗栗縣竹南鎮,苗栗縣造橋鄉","037-663030,037-663330","037-682971","http://chorng-guang,myweb,hinet,net","Chorng,cuang@msa,hinet,net",
"後龍診所","苗栗縣","後龍鎮","中山路123號","苗栗縣後龍鎮中山路123號","2","居家復健","苗栗縣後龍鎮,苗栗縣通霄鎮,苗栗縣苑裡鎮,苗栗縣西湖鄉","037-773088","無","無","wenling74@gmail,com",
"大順醫院","苗栗縣","大湖鄉","中正路48-5號","苗栗縣大湖鄉中正路48-5號","2","居家復健","苗栗縣獅潭鄉,苗栗縣三灣鄉,苗栗縣南庄鄉","037-997666","無","無","wenling74@gmail,com",
"公館診所","苗栗縣","公館鄉","5鄰安東街8號","苗栗縣公館鄉5鄰安東街8號","2","居家復健","苗栗縣頭屋鄉,苗栗縣公館鄉","037-228834","無","無","wenling74@gmail,com",
"彰化基督教醫療財團法人彰化基督教醫院復健醫學科","彰化縣","彰化市","南校街135號","彰化縣彰化市南校街135號","2","居家復健","彰化縣二林鎮,彰化縣二水鄉,彰化縣伸港鄉,彰化縣北斗鎮,彰化縣和美鎮,彰化縣員林市,彰化縣埔心鄉,彰化縣埔鹽鄉,彰化縣埤頭鄉,彰化縣大城鄉,彰化縣大村鄉,彰化縣彰化市,彰化縣永靖鄉,彰化縣溪州鄉,彰化縣溪湖鎮,彰化縣田中鎮,彰化縣田尾鄉,彰化縣社頭鄉,彰化縣福興鄉,彰化縣秀水鄉,彰化縣竹塘鄉,彰化縣線西鄉,彰化縣芬園鄉,彰化縣花壇鄉,彰化縣芳苑鄉,彰化縣鹿港鎮","04-7238595","04-7279512","無","172992@cch.org.tw",
"安怡診所","彰化縣","彰化市","中山路2段55號及55之1號","彰化縣彰化市中山路2段55號及55之1號","2","居家復健","彰化縣二林鎮,彰化縣二水鄉,彰化縣伸港鄉,彰化縣北斗鎮,彰化縣和美鎮,彰化縣員林市,彰化縣埔心鄉,彰化縣埔鹽鄉,彰化縣埤頭鄉,彰化縣大城鄉,彰化縣大村鄉,彰化縣彰化市,彰化縣永靖鄉,彰化縣溪州鄉,彰化縣溪湖鎮,彰化縣田中鎮,彰化縣田尾鄉,彰化縣社頭鄉,彰化縣福興鄉,彰化縣秀水鄉,彰化縣竹塘鄉,彰化縣線西鄉,彰化縣芬園鄉,彰化縣花壇鄉,彰化縣芳苑鄉,彰化縣鹿港鎮","04-7232389","無","無","clinicease@gmail.com",
"愛心物理治療所","彰化縣","田中鎮","員集路340號1樓","彰化縣田中鎮員集路340號1樓","2","居家復健","彰化縣二林鎮,彰化縣二水鄉,彰化縣伸港鄉,彰化縣北斗鎮,彰化縣和美鎮,彰化縣員林市,彰化縣埔心鄉,彰化縣埔鹽鄉,彰化縣埤頭鄉,彰化縣大城鄉,彰化縣大村鄉,彰化縣彰化市,彰化縣永靖鄉,彰化縣溪州鄉,彰化縣溪湖鎮,彰化縣田中鎮,彰化縣田尾鄉,彰化縣社頭鄉,彰化縣福興鄉,彰化縣秀水鄉,彰化縣竹塘鄉,彰化縣線西鄉,彰化縣芬園鄉,彰化縣花壇鄉,彰化縣芳苑鄉,彰化縣鹿港鎮","04-8741630","04-8741630","無","love8741630@yahoo.com.tw",
"員林郭醫院大村分院","彰化縣","大村鄉","田洋橫巷2-9號","彰化縣大村鄉田洋橫巷2-9號","2","居家復健","彰化縣北斗鎮,彰化縣員林市,彰化縣大村鄉,彰化縣彰化市,彰化縣溪湖鎮,彰化縣花壇鄉","04-8539666","04-8525966","http://www.kuohospital.com.tw/","kuo.nurse@msa.hinet.net",
"社團法人彰化縣物理治療師公會","彰化縣","二林鎮","斗苑路四段702號","彰化縣二林鎮斗苑路四段702號","2","居家復健","彰化縣二林鎮,彰化縣二水鄉,彰化縣伸港鄉,彰化縣北斗鎮,彰化縣和美鎮,彰化縣員林市,彰化縣埔心鄉,彰化縣埔鹽鄉,彰化縣埤頭鄉,彰化縣大城鄉","04-8967846","04-8964342","http://chpt.znet.tw/","Clean0955@yahoo.com.tw",
"錫安診所","南投縣","埔里鎮","北辰街119號1樓","南投縣埔里鎮北辰街119號1樓","2","居家復健","南投縣埔里鎮","049-2999907","049-2999907","無","hymn9@ms32,hinet,net",
"埔基醫療財團法人埔里基督教醫院復健科","南投縣","埔里鎮","鐵山路1號","南投縣埔里鎮鐵山路1號","2","居家復健","南投縣埔里鎮","049-2912151#4502","049-2918638","http://spweb.pch.org.tw/SitePages/Home.aspx","adpch921@gmail,com",
"佑民醫療社團法人佑民醫院","南投縣","草屯鎮","太平路一段200號","南投縣草屯鎮太平路一段200號","2","居家復健","南投縣草屯鎮","049-2358151","049-2339631","無","903824@cch,org,tw",
"南投縣物理治療師公會","南投縣","草屯鎮","虎山路915號","南投縣草屯鎮虎山路915號","2","居家復健","南投縣南投縣","0922-022435","049-2261738","無","zmin1020@gmail,com",
"社團法人南投縣職能治療師公會","南投縣","草屯鎮","玉屏路161號","南投縣草屯鎮玉屏路161號","2","居家復健","南投縣","049-2567426","049-2567426","無","nantouot@hotmail,com",
"竹山秀傳復健科","南投縣","竹山鎮","集山路二段75號","南投縣竹山鎮集山路二段75號","2","居家復健","南投縣竹山鄉,南投縣名間鄉,南投縣集集鎮,南投縣鹿谷鄉,南投縣信義鄉","049-2624266#32020","無","無","cs3419@ccshow,org,tw",
"東華醫院","南投縣","竹山鎮","集山路三段272巷16號","南投縣竹山鎮集山路三段272巷16號","2","居家復健","南投縣竹山鎮","049-2658949","049-2658646","http://www,dong,org,tw","hospital888@gmail,com",
"信義鄉衛生所","南投縣","信義鄉","玉山路45號","南投縣信義鄉玉山路45號","2","居家護理,居家復健","南投縣信義鄉","049-2791148","049-2792016","http://shy-nth.mohw.gov.tw","",
"南投縣仁愛鄉衛生所","南投縣","仁愛鄉","五福巷17號","南投縣仁愛鄉五福巷17號","2","居家復健","南投縣仁愛鄉","049-2802341","049-2802414","無","",
"社團法人雲林縣職能治療師公會","雲林縣","斗六市","瓦厝路159號","雲林縣斗六市瓦厝路159號","2","居家復健","雲林縣","05-5224420","05-5223857","無","yunlinotu@hotmail,com",
"社團法人雲林縣物理治療師公會","雲林縣","斗六市","府文路22號1樓","雲林縣斗六市府文路22號1樓","2","居家復健","雲林縣","05-5362306","05-5337028","http://www.pt.org.tw/yunlin/","ylpt2008@gmail,com",
"衛生福利部朴子醫院","嘉義縣","朴子市","42-50號","嘉義縣朴子市42-50號","2","居家復健","嘉義縣朴子市,嘉義縣東石鄉,嘉義縣布袋鎮,嘉義縣義竹鄉","05-3790600#358","05-3797454","無","rehab@puzih,moh,gov,tw",
"財團法人嘉義長庚紀念醫院","嘉義縣","朴子市","嘉朴路西段6號","嘉義縣朴子市嘉朴路西段6號","2","居家復健","嘉義縣六腳鄉,嘉義縣鹿草鄉","05-3621000#2688","05-3623002","無","ilin@cgmh,org,tw",
"佛教慈濟醫療財團法人大林慈濟醫院","嘉義縣","大林鎮","民生路2號","嘉義縣大林鎮民生路2號","2","居家復健","嘉義縣大林鎮,嘉義縣梅山鄉,嘉義縣新港鄉,嘉義縣民雄鄉,嘉義縣溪口鄉,嘉義縣大埔鄉","05-2648000","05-2648999","http://app,tzuchi,com,tw","hrpa@tzuchi,com,tw",
"台中榮民總醫院灣橋分院","嘉義縣","竹崎鄉","麻園38號","嘉義縣竹崎鄉麻園38號","2","居家復健","嘉義縣竹崎鄉","05-2791072#7152","05-2793061","http://www.vhcy.gov.tw/","rh3072@vghtc,gov,tw",
"社團法人屏東縣物理治療師公會","屏東縣","屏東市","建豐路167號","屏東縣屏東市建豐路167號","2","居家復健","屏東縣","無","08-7360614","http://www.yytech.com.tw/ptpt/WfrmHome.aspx","djho608@hotmail,com",
"身益物理治療所","屏東縣","屏東市","建國路158號1樓","屏東縣屏東市建國路158號1樓","2","居家復健","屏東縣高樹鄉,屏東市,屏東縣潮州鄉","08-7561182","08-7561182","無","nurse_swallow@pchome,com,tw",
"屏基醫療財團法人屏東基督教醫院","屏東縣","屏東市","大連路60號","屏東縣屏東市大連路60號","2","居家服務,居家復健","屏東縣屏東區,屏東縣里港區,屏東縣潮州區,屏東縣原鄉北區,屏東縣屏東市,屏東縣萬丹鄉,屏東縣九如鄉,屏東縣長治鄉","08-7384033","08-7381023","www.ptch.org.tw","homecare@ptch.org.tw",
"南門醫院","屏東縣","恆春鎮","南門路10號","屏東縣恆春鎮南門路10號","2","居家復健","屏東縣恆春區,屏東縣枋山鄉,屏東縣獅子鄉,屏東縣恆春鎮,屏東縣車城鄉,屏東縣滿州鄉,屏東縣牡丹鄉","08-8894568#14","08-8880995","無","purplego666@hotmail,com",
"社團法人屏東縣職能治療師公會","屏東縣","長治鄉","信義路129號","屏東縣長治鄉信義路129號","2","居家復健","屏東縣","08-7622670#1112","08-7622030","無","flyd37@pchome,com,tw",
"屏東縣泰武鄉衛生所","屏東縣","泰武鄉","5鄰179號","屏東縣泰武鄉5鄰179號","2","居家復健","屏東縣泰武鄉","08-7832059,08-7850543","08-7851642","無","ffeeio820@yahoo,com,tw",
"東基醫療財團法人台東基督教醫院","臺東縣","臺東市","39鄰開封街350號","台東縣臺東市39鄰開封街350號","2","居家護理,居家復健","台東縣台東市,台東縣關山鎮,臺東縣鹿野鄉","089-960888","089-960210","http://www.tch.org.tw/TchWeb/","advice@tch.org.tw",
"馬偕紀念醫院台東分院","臺東縣","臺東市","9鄰長沙街303巷1號","台東縣台東市9鄰長沙街303巷1號","2","居家復健","台東縣臺東市,臺東縣蘭嶼鄉","089-310150#490","089-331222","無","a1895@mmh,org,tw",
"台北榮民總醫院台東分院","臺東縣","臺東市","更生路1000號","台東縣臺東市更生路1000號","2","居家復健","台東縣大武鄉,臺東縣太麻里鄉,臺東縣金峰鄉","089-222995#2012","無","無","Vhtt111@vhtt,gov,tw",
"社團法人台東縣物理治療師公會","臺東縣","臺東市","9鄰長沙街303巷1號三樓復建科","台東縣臺東市9鄰長沙街303巷1號三樓復建科","2","居家復健","臺東縣臺東市","089-310150#490","089-331222","無","claire352471@gmail,com",
"衛生福利部台東醫院","臺東縣","臺東市","五權街1號","台東縣臺東市五權街1號","2","居家復健","台東縣臺東市","089-324112#1201","089-343560","http://www,tait,mohw,gov,tw","temmy350@yahoo,com,tw",
"天主教花蓮教區醫療財團法人台東聖母醫院","臺東縣","臺東市","杭州路2號","台東縣臺東市杭州路2號","2","居家復健","台東縣臺東市","089-322833","089-327127","http://www.st-mary.org.tw/index.php","T00008@st-mary,org,tw",
"佛教慈濟醫療財團法人關山慈濟醫院","臺東縣","關山鎮","和平路125號25樓","台東縣關山鎮和平路125號25樓","2","居家復健","臺東縣鹿野鄉,臺東縣關山鎮,臺東縣海端鄉,臺東縣池上鄉","089-814880#134","089-814873","無","",
"臺灣基督教門諾會醫療財團法人門諾醫院","花蓮縣","花蓮市","民權路44號","花蓮縣花蓮市民權路44號","2","居家復健","花蓮縣卓溪鄉","03-8885638","03-88241885","http://www.mch.org.tw/","",
"衛生福利部花蓮醫院","花蓮縣","花蓮市","13鄰中正路600號","花蓮縣花蓮市13鄰中正路600號","2","居家復健","花蓮縣豐濱村","03-8358141","03-8335428","http://www.hwln.mohw.gov.tw/","ccchien@hwm,mohw,gov,tw",
"佛教慈濟醫療財團法人花蓮慈濟醫院","花蓮縣","花蓮市","中央路3段707號","花蓮縣花蓮市中央路3段707號","2","居家復健","花蓮縣","03-8561825#3279","無","無","cl23010@yahoo,com,tw",
"台北榮民總醫院鳳林分院","花蓮縣","鳳林鎮","中正路1段2號","花蓮縣鳳林鎮中正路1段2號","2","居家復健","花蓮縣中扈","03-8763331","03-8764546","無","",
"財團法人天主教靈醫會惠民醫院","澎湖縣","馬公市","樹德路14號","澎湖縣馬公市樹德路14號","2","居家復健","澎湖縣馬公市,澎湖縣白沙鄉,澎湖縣西嶼鄉,澎湖縣湖西鄉","06-9272318","06-9276745","無","ppjianying@yahoo,com,tw",
"衛生福利部澎湖醫院","澎湖縣","馬公市","中正路10號","澎湖縣馬公市中正路10號","2","居家復健","澎湖縣馬公市,澎湖縣湖西鄉","06-9261151#50741","06-9265517","無","00410@pngh,mohw,gov,tw",
"楊光復健診所","基隆市","仁愛區","愛三路120號4樓","基隆市仁愛區愛三路120號4樓","2","居家復健","基隆市","02-24292288","02-24283456","無","aoueshin@mail,com",
"基隆市物理治療師公會","基隆市","安樂區","麥金路222號B1","基隆市安樂區麥金路222號B1","2","居家復健","基隆市","02-24313131#2085","02-24683818","http://www.pt.org.tw/keelung/","dadahome0918@yahoo,com,tw",
"新竹市職能治療師公會","新竹市","東區","光復路二段690號","新竹市東區光復路二段690號","2","居家復健","新竹市","03-6119595#6039","無","","",
"新竹市語言治療師公會","新竹市","東區","西大路114號","新竹市東區西大路114號","2","居家復健","新竹市","0912534305","無","無","hscslp2013@gmail.com",
"黃志豪職能治療所","新竹市","東區","民族路55-1號2樓","新竹市東區民族路55-1號2樓","2","居家復健","新竹市","03-5153003","03-5317694","無","kirstysong@yahoo,com,tw",
"財團法人台灣基督長老教會馬偕紀念社會事業基金會馬偕紀念醫院新竹分院","新竹市","東區","10鄰光復路二段690號","新竹市東區10鄰光復路二段690號","2","居家復健","新竹市","03-6119595#6042","03-6110900","http://www,hc,mmh,org,tw","1360@ms7,mmh,org,tw",
"新竹市物理治療師公會","新竹市","北區","中華路二段678號5樓","新竹市北區中華路二段678號5樓","2","居家復健","新竹市","03-5348181#325246","無","http://www,hcpt,url,tw/hot_cg8344,html","maylin1972@gmail,com；hcphysth@yahoo,com,tw",
"國立台灣大學醫學院附設醫院新竹分院","新竹市","北區","21鄰經國路一段442巷25號1樓","新竹市北區21鄰經國路一段442巷25號1樓","2","居家復健","新竹市","03-5326151#3513","03-5336652","無","w3yjcw@gmail,com",
"社團法人嘉義市物理治療師公會","嘉義市","東區","大雅路二段565號1樓復健科","嘉義市東區大雅路二段565號1樓復健科","2","居家復健","嘉義市","05-2756000#3830","05-2756000#3805","http://blog.xuite.net/cypt600/blog","cypta600@gmail,com",
"天主教中華聖母修女會醫療財團法人天主教聖馬爾定醫院","嘉義市","東區","大雅路二段565號","嘉義市東區大雅路二段565號","2","居家復健","嘉義市,嘉義縣阿里山北九村","05-2756000#3801","05-2756000#3805","http://www.stm.org.tw/reh/","H330@stm,org,tw",
"陳仁德醫院","嘉義市","西區","林森西路285號","嘉義市西區林森西路285號","2","居家復健","嘉義市","05-2258279#120","05-2237816","無","cjdhp@ms21,hinet,net",
"嘉義市職能治療師公會","嘉義市","西區","世賢路二段600號(身心醫學大樓二)","嘉義市西區世賢路二段600號(身心醫學大樓二)","2","居家復健","嘉義市,嘉義縣中埔鄉,嘉義縣番路鄉,嘉義縣太保市","05-2359630#6573","05-2841274","http://blog.xuite.net/ccotu/otr","cycota600@dgmail,com",
"臺中榮民總醫院嘉義分院","嘉義市","西區","世賢路二段600號","嘉義市西區世賢路二段600號","2","居家復健","嘉義縣水上鄉","05-2359630#2801","無","無","",
"社團法人台北市物理治療師公會","臺北市","松山區","6鄰八德路二段374號9樓之6","台北市松山區6鄰八德路二段374號9樓之6","2","居家復健","台北市","02-87732464","02-87733242","http://www,taipeipt,org,tw","lin,cheyenne@gmail,com,taipeipt@taipeipt,org,tw",
"社團法人台灣職能治療學會","臺北市","中正區","3鄰博愛路9號5樓之3","台北市中正區3鄰博愛路9號5樓之3","2","居家復健","新北市,台北市","02-23820103","02-23826496","無","longtermcare,ota@gmail,com",
"社團法人高雄市物理治療師公會","高雄市","左營區","民族一路901巷26弄6號5樓之1","高雄市左營區民族一路901巷26弄6號5樓之1","2","居家復健","高雄市","07-3414815","07-3470540","http://www.pt.org.tw/kaohsiung/","kaohsiungpt@gmail,com",
"高雄市立民生醫院","高雄市","苓雅區","凱旋二路134號","高雄市苓雅區凱旋二路134號","2","居家復健","高雄市田寮區","07-7511131#2206","07-7131456","http://www.kmsh.gov.tw/kmsh/H2mee/homepage.aspx?newsType=news","kmmsh134@gmail,com",
"臨海醫院","高雄市","小港區","沿海一路461號","高雄市小港區沿海一路461號","2","居家復健","高雄市小港區,高雄市前鎮區","07-8012171#2908","07-8035246","http://www.linhai.com.tw/","linhai,decloire@gmail,com",
"高雄市立鳳山醫院(委託長庚醫療財團法人經營)","高雄市","鳳山區","經武路42號","高雄市鳳山區經武路42號","2","居家復健","高雄市鳳山區,高雄市大寮區,高雄市前鎮區,高雄市小港區","07-7418151","07-7462731","無","henrylee323@gmail,come",
"社團法人高雄市職能治療師公會","高雄市","鳥松區","大埤路123號復健大樓8樓復健科","高雄市鳥松區大埤路123號復健大樓8樓復健科","2","居家復健","高雄市三民區,高雄市苓雅區,高雄市前金區,高雄市鳳山區,高雄市前鎮區,高雄市大寮區,高雄市大樹區,高雄市仁武區,高雄市左營區,高雄市岡山區,高雄市林園區,高雄市茄萣區,高雄市新興區,高雄市楠梓區,高雄市橋頭區,高雄市燕巢區","07-7317123#8755","07-7338631","無","kotahome@gmail,com",
"長庚醫療財團法人高雄長庚紀念醫院","高雄市","鳥松區","41鄰大埤路123號","高雄市鳥松區41鄰大埤路123號","2","居家復健","高雄市鳳山區,高雄市鳥松區,高雄市仁武區","07-7317123#2849/8555","07-7336988","無","otchief@adm,cgmh,org,tw/atcenter@adm,cgmh,org,tw",
"溫有諒醫院","高雄市","路竹區","延平路57號","高雄市路竹區延平路57號","2","居家復健","高雄市岡山區,高雄市路竹區,高雄市永安區,高雄市湖內區","07-6965136","07-6960275","無","give3baby@gmail,com",
"衛生福利部旗山醫院","高雄市","旗山區","中學路60號","高雄市旗山區中學路60號","2","居家復健","高雄市甲仙區,高雄市杉林區,高雄市桃源區,高雄市六龜區,高雄市美濃區,高雄市旗山區,高雄市內門區","07-6613811#1010","07-6618638","http://www.chis.mohw.gov.tw/","chis@chis,mohw,gov,tw",
"社團法人新北市物理治療師公會","新北市","永和區","大新街63巷2號7樓","新北市永和區大新街63巷2號7樓","2","居家復健","新北市","02-29228918","02-29228718","http://www.pt.org.tw/ntpt/","emily760619@gmail,com",
"中國附醫東區分院","臺中市","東區","自由路三段296號","台中市東區自由路三段296號","2","居家復健","台中市","04-22121058","04-22121058#1523","無","T14753@mail,cmuh,org,tw",
"台中市物理治療師公會","臺中市","南區","德富路130號","台中市南區德富路130號","2","居家復健","台中市","04-22657881","04-22657059","http://www.pt.org.tw/taichung/index.php","",
"台中市職能治療師公會","臺中市","南區","復興路二段11號3樓","台中市南區復興路二段11號3樓","2","居家復健","台中市","04-22608277","04-22602639","http://www.tcotu.org.tw/","tcotu,office@gmail,com",
"衛生福利部台中醫院","臺中市","西區","三民路一段199號","台中市西區三民路一段199號","2","居家復健","台中市大肚區,台中市沙鹿區,台中市龍井區,台中市中區,台中市東區,台中市南區,台中市西區,台中市北區","04-22294411#5651","04-22229517","http://www.taic.mohw.gov.tw/","w_0816@hotmail,com",
"財團法人台中市私立中杏社會福利基金會","臺中市","西區","健行路1049號26樓之19","台中市西區健行路1049號26樓之19","2","居家復健","台中市","04-23290563","04-23202332","無","a10942@mail,cmuh,org,tw",
"衛福部豐原醫院","臺中市","豐原區","安康路100號","台中市豐原區安康路100號","2","居家復健","台中市豐原區,台中市新社區,台中市后里區,台中市石岡區,台中市東勢區","04-25271180-3101","04-25271180-3295","http://www.fyh.mohw.gov.tw/","hkwpt2003@yahoo,com,tw",
"李綜合醫療社團法人大甲李綜合醫院","臺中市","大甲區","八德街2號B2","台中市大甲區八德街2號B2","2","居家復健","台中市沙鹿區,台中市大甲區,台中市外埔區,台中市大安區","04-26862288#2235","無","","reh@leehospital,com,tw",
"霧峰澄清醫院","臺中市","霧峰區","中正路1129號","台中市霧峰區中正路1129號","2","居家復健","台中市霧峰區,台中市烏日區","04-23397900#216","04-23304689","http://www.wfcc.com.tw/","m58ai@yahoo,com,tw",
"賢德醫院","臺中市","太平區","宜昌路420號","台中市太平區宜昌路420號","2","居家復健","台中市","04-22732551","04-22735495","無","cen,david@msa,hinet,net",
"仁愛醫療財團法人大里仁愛醫院","臺中市","大里區","東榮路483號","台中市大里區東榮路483號","2","居家復健","台中市大里區,台中市太平區","04-24819900","04-24815615","無","lch668872@yahoo,com,tw",
"衛生福利部新營醫院","臺南市","新營區","信義街73號","台南市新營區信義街73號","2","居家復健","台南市新營區","06-6351131","06-6358493","http://www,syh,mohw,gov,tw","Hwh0103@syh,mohw,gov,tw",
"高雄榮民總醫院台南分院","臺南市","永康區","復興路427號","台南市永康區復興路427號","2","居家復健","台南市東區,台南市北區,台南市南區","06-3125101","06-3111467","http://www,vhyk,gov,tw","",
"大橋復健科診所","臺南市","永康區","東橋二街2號","台南市永康區東橋二街2號","2","居家復健","台南市","06-3039080","06-3038813","","annielittlewitch@yahoo,com,tw",
"康健復健科診所","臺南市","永康區","永大路二段919號","台南市永康區永大路二段919號","2","居家復健","台南市永康區,台南市新市區,台南市新化區,台南市仁德區,歸仁區,台南市左鎮區,台南市南化區,台南市玉井區","06-2326048","06-2329615","無","dange7188@hotmail,com",
"佑誠復健科診所","臺南市","東區","19鄰中華東路三段220號","台南市東區19鄰中華東路三段220號","2","居家復健","台南市東區,台南市南區,台南市中西區","06-2899373","06-2899373","無","felix,chiu@msa,hinet,net",
"台南市物理治療師公會","臺南市","東區","長榮路一段256號8樓之7","台南市東區長榮路一段256號8樓之7","2","居家復健","台南市","06-2089308","無","http://tnpt,myweb,hinet,net","tainan,pt@msa,hinet,net",
"長欣復健科診所","臺南市","北區","臨安路二段209號1,2,4樓","台南市北區臨安路二段209號1,2,4樓","2","居家復健","台南市北區","06-2589625","06-2588996","http://www.everjoy.tw/","everjoy@everjoy,tw",
"長欣職能治療所","臺南市","北區","臨安路二段209號3,5樓","台南市北區臨安路二段209號3,5樓","2","居家復健","台南市北區","06-2589626","06-2588996","http://www.everjoy.tw/","everjoy@everjoy,tw",
