"單位名稱","地址_縣市","地址_鄉鎮市區","地址","設立地址","機構狀態","服務類型","評鑑等級","未評鑑原因","電話","傳真","單位網址","單位電子信箱","服務可提供量","許可_總床數","許可_養護床","許可_長照床","許可_安養床",
"彰化縣私立聖仁老人長期照護中心(長期照護型)","彰化縣","花壇鄉","三春村後厝一巷12弄36號","彰化縣花壇鄉三春村後厝一巷12弄36號","1","長期照護型機構","<year=104&class=1>","","?04-7877779","?04-7877776","無","?sr7877779@yahoo.com.tw","True","49","0","49","0",
"彰化縣私立通堡老人長期照護中心(長期照護型)","彰化縣","花壇鄉","中庄村中山路一段40巷88號","彰化縣花壇鄉中庄村中山路一段40巷88號","1","長期照護型機構","<year=104&class=2>","","04-7877538","04-7870733","無","yu.chin.chang@yahoo.com.tw","True","49","0","49","0",
"財團法人彰化縣私立茉莉園社會福利慈善基金會附設彰化縣私立茉莉園老人長期照顧中心(長期照護型)","彰化縣","花壇鄉","北口村彰花路651巷37號","彰化縣花壇鄉北口村彰花路651巷37號","1","長期照護型機構","<year=102&class=3>","","04-7519088","04-7518988","http://www.moliyuan.org/zh/news.html","ping@jgardenusa.com; ping@moliyuan.org","True","198","0","198","0",
"彰化縣私立馨園老人長期照護中心","彰化縣","花壇鄉","白沙村溪北街17號","彰化縣花壇鄉白沙村溪北街17號","1","長期照護型機構","<year=102&class=2>","","?04-7878847","?04-7878981","http://www.sinyuang.com/","sinyuan102@gmail.com","True","49","0","49","0",
"彰化縣私立松柏老人長期照護中心","彰化縣","溪州鄉","榮光村政民路287巷51弄5號","彰化縣溪州鄉榮光村政民路287巷51弄5號","1","長期照護型機構","<year=103&class=2>","","?04-8795090","?04-8793402","http://www.songbor.org.tw/","?songbor.center@msa.hinet.net","True","48","0","48","0",
"南投縣私立仁和長期照顧中心","南投縣","南投市","平山里24鄰仁和路14號","南投縣南投市平山里24鄰仁和路14號","1","長期照護型機構","<year=102&class=2>","","?049-2263166","?049-2262990","無","?jenho.lt@msa.hinet.net","True","48","0","48","0",
"南投縣私立博愛長期照顧中心","南投縣","草屯鎮","明正里29鄰博愛路470號","南投縣草屯鎮明正里29鄰博愛路470號","1","長期照護型機構","無","101年10月立案，預計105年完成評鑑","?049-2381777","?049-2307748","無","?bo.ai@msa.hinet.net","True","49","0","49","0",
"雲林縣私立雙福佛門老人長期照顧中心（長期照護型）","雲林縣","斗南鎮","小東里17鄰大業路152巷5弄28號","雲林縣斗南鎮小東里17鄰大業路152巷5弄28號","1","長期照護型機構","無","3","05-5977899","05-5968557","無","sfb5977899@gmail.com","True","48","0","48","0",
"雲林縣私立新樂園老人長期照顧中心","雲林縣","虎尾鎮","三合里10鄰吳厝59號","雲林縣虎尾鎮三合里10鄰吳厝59號","1","長期照護型機構","<year=102&class=2>","","?05-6621559","?05-6620668","無","?new6621559@yahoo.com.tw","True","49","49","0","0",
"雲林縣私立歡禧老人長期照顧中心(養護型)","雲林縣","西螺鎮","中興里19鄰福來路265巷15號","雲林縣西螺鎮中興里19鄰福來路265巷15號","1","長期照護型機構","<year=102&class=2>","","?05-5880797","?05-5880791","無","huan_shi5880797@yahoo.com.tw","True","45","45","0","0",
"雲林縣私立長榮老人長期照顧中心(長期照護型)","雲林縣","北港鎮","劉厝里民樂路427-28號","雲林縣北港鎮劉厝里民樂路427-28號","1","長期照護型機構","<year=102&class=3>","","?05-7832988","?05-7839873","無","h960825@yahoo.com.tw","True","41","0","41","0",
"雲林縣私立安泰老人長期照護中心","雲林縣","北港鎮","劉厝里民樂路427-22號","雲林縣北港鎮劉厝里民樂路427-22號","1","長期照護型機構","<year=102&class=3>","","?05-7832588","?05-7839873","http://wmall.tnyn.com/anta","?HUIILOO@KCG.URL.COM.TW","True","96","0","48","48",
"雲林縣私立平安老人長期照顧中心","雲林縣","古坑鄉","荷苞厝荷苞路109-8號","雲林縣古坑鄉荷苞厝荷苞路109-8號","1","長期照護型機構","<year=102&class=3>","","?05-5266979","?05-5267155","無","?pingan88888@gmail.com","True","28","0","28","0",
"雲林縣祐康老人養護中心","雲林縣","崙背鄉","港尾村新鎮路45之3號","雲林縣崙背鄉港尾村新鎮路45之3號","1","長期照護型機構","<year=102&class=3>","","?05-6969110","?05-6969650","http://youkang637.pixnet.net/blog","youkang637@yahoo.com.tw","True","20","20","0","0",
"雲林縣私立三和老人長期照顧中心(長期照護型)","雲林縣","褒忠鄉","中民村大部路2-68號","雲林縣褒忠鄉中民村大部路2-68號","1","長期照護型機構","<year=102&class=3>","","?05-6973618","?05-6971918","https://www.facebook.com/pages/%E9%9B%B2%E6%9E%97%E7%B8%A3%E7%A7%81%E7%AB%8B%E4%B8%89%E5%92%8C%E8%80%81%E4%BA%BA%E9%95%B7%E6%9C%9F%E7%85%A7%E9%A1%A7%E4%B8%AD%E5%BF%83%E9%95%B7%E6%9C%9F%E7%85%A7%E8%AD%B7%E5%9E%8B/232542143488581","?sam20100416@yahoo.com.tw","True","49","0","49","0",
"雲林縣私立萊園老人長期照護中心","雲林縣","元長鄉","長南村元南路6-20號","雲林縣元長鄉長南村元南路6-20號","1","長期照護型機構","<year=102&class=3>","","?05-7888955","?05-7889727","無","?lai-yuan@hotmail.com","True","30","0","30","0",
"花蓮縣私立崇恩長期照顧中心【長期照護型】","花蓮縣","吉安鄉","東昌村8鄰東海6街81號","花蓮縣吉安鄉東昌村8鄰東海6街81號","1","長期照護型機構","<year=102&class=1>","","?03-8522020","?03-8543683","http://chorngen2004.er-webs.com/","?ltcc.chen@msa.hinet.net","True","28","0","28","0",
"花蓮縣私立祥雲老人長期照顧中心","花蓮縣","吉安鄉","中興路101號","花蓮縣吉安鄉中興路101號","1","長期照護型機構","<year=102&class=2>","","03-8511095","03-8549385","無","q49121@yahoo.com.tw","True","49","0","49","0",
"花蓮縣私立惠馨長期照顧中心","花蓮縣","吉安鄉","永興村全民街27號","花蓮縣吉安鄉永興村全民街27號","1","長期照護型機構","無","102年4月立案，未滿3年，預計105年完成評鑑","?03-8528868","?03-8520028","無","?home_care@kimo.com","True","32","0","32","0",
"嘉義市私立展順老人長期照護中心","嘉義市","東區","義教街585巷33號","嘉義市東區義教街585巷33號","1","長期照護型機構","<year=102&class=2>","","?05-2783023","?05-2756242","無","?tansoon125@yahoo.com.tw","True","40","0","40","0",
"嘉義市私立梅香園老人長期照顧中心〈長期照護型〉","嘉義市","東區","林森東路877號","嘉義市東區林森東路877號","1","長期照護型機構","<year=102&class=2>","","?05-2741717","?05-2789535","http://www.mei-hsiang.com.tw/","?bbs279@hotmail.com","True","15","0","15","0",
"財團法人嘉義市私立保康社會福利慈善事業基金會附設嘉義市私立保康老人長期照顧中心(長期照護型)","嘉義市","東區","保順路121號","嘉義市東區保順路121號","1","長期照護型機構","<year=102&class=2>","","?05-2718003","?05-2778117","http://www.paukan.org.tw","?cychv012@gmail.com","True","196","0","178","0",
"嘉義市私立安心老人長期照顧中心〈長期照護型〉","嘉義市","西區","南京路279號","嘉義市西區南京路279號","1","長期照護型機構","<year=102&class=3>","","?05-2355860","?05-2355932","http://www.lovecare.tw/","?love.care8@hotmai.com.tw","True","45","0","45","0",
"嘉義市私立國泰長期照護中心","嘉義市","西區","育人路329號","嘉義市西區育人路329號","1","長期照護型機構","<year=102&class=1>","","?05-2363963","?05-2862167","http://growtaiwan.site44.com/","?gt8666@gmail.com","True","49","0","49","0",
"財團法人嘉義市私立瑞泰老人長期照護中心","嘉義市","西區","玉山路669號","嘉義市西區玉山路669號","1","長期照護型機構","<year=102&class=2>","","?05-2361908","?05-2358743","http://www.raytai.org.tw/","?raytai66@seed.net.tw","True","90","0","90","0",
"臺北市私立松竹園老人長期照護中心","臺北市","中山區","雙城街三十二巷一號4-6樓","台北市中山區雙城街三十二巷一號4-6樓","1","長期照護型機構","<year=104&class=3>","","?02-25987802","02-?25987803","http://www.songzuwen.com.tw/","?songzuwen@yahoo.com.tw","True","30","0","30","0",
"財團法人台北市私立恆安老人長期照顧中心(長期照護型)","臺北市","萬華區","水源路187號1-4樓","台北市萬華區水源路187號1-4樓","1","長期照護型機構","<year=102&class=2>","","?02-23327973","02-?23094790","http://www.hangan.org/","?wh.187@hangan.org.tw","True","117","0","117","0",
"高雄市私立崇祐老人長期照顧中心(養護型)","高雄市","楠梓區","常德路317巷9弄29號","高雄市楠梓區常德路317巷9弄29號","1","長期照護型機構","<year=104&class=3>","","?07-3516260","無","無","無","True","34","34","0","0",
"高雄市私立安大老人長期照顧中心(長期照護型)","高雄市","三民區","大昌二路268號3樓","高雄市三民區大昌二路268號3樓","1","長期照護型機構","<year=103&class=2>","","?07-3978666","?07-3811723","http://www.anti.com.tw/","?ad3978666@gmail.com","True","49","0","49","0",
"高雄市私立耀群老人長期照護中心","高雄市","前鎮區","瑞北路241號1-2樓","高雄市前鎮區瑞北路241號1-2樓","1","長期照護型機構","<year=102&class=3>","","?07-7171168","?07-7171236","無","?vike999@yahoo.com.tw","True","47","0","47","0",
"財團法人濟興長青基金會附設高雄市私立濟興長青園老人長期照顧中心（長期照顧型）","高雄市","燕巢區","橫山路72號","高雄市燕巢區高雄市燕巢區橫山路72號","1","長期照護型機構","<year=104&class=1>","","?07-6155548","?07-6154936","http://www.jising.org.tw/","?jising.egg@gmail.com","True","25","0","25","0",
"新北市私立智英老人長期照護中心","新北市","新莊區","中正路544-36號1樓","新北市新莊區中正路544-36號1樓","1","長期照護型機構","<year=101&class=3>","","02-86676483","無","無","oldman.ay@msa.hinet.net","True","25","0","25","0",
"新北市私立民權老人長期照顧中心(長期照護型)","新北市","新店區","民權路88之1號2樓","新北市新店區民權路88之1號2樓","1","長期照護型機構","<year=103&class=3>","","02-26211033","無","無","sh561108@yahoo.com.tw","True","16","0","16","0",
"新北市私立清涼養老院老人長期照顧中心(養護型)","新北市","三峽區","介壽路一段286號3樓","新北市三峽區介壽路一段286號3樓","1","長期照護型機構","無","3","02-89723269","02-86722927","http://www.hok.com.tw/","service@hok.com.tw","True","48","48","0","0",
"新北市私立銀泰老人長期照顧中心(長期照護型)","新北市","汐止區","福德路38號6樓之1~6","新北市汐止區福德路38號6樓之1~6","1","長期照護型機構","<year=102&class=3>","","02-22930992","02-26941648","無","tsubasason@yahoo.com.tw","True","20","0","20","0",
"新北市私立夏雨老人長期照顧中心(長期照護型)","新北市","林口區","三民路75號2樓","新北市林口區三民路75號2樓","1","長期照護型機構","<year=101&class=1>","","02-89675498","02-26088689","無","neko.be@msa.hinet.net","True","41","0","41","0",
"財團法人臺中市私立長生老人長期照護中心","臺中市","北區","404錦祥里北屯路26號9、10、12樓(不含12樓之9及12樓之10)","404臺中市北區錦祥里北屯路26號9、10、12樓(不含12樓之9及12樓之10)","1","長期照護型機構","<year=102&class=2>","","04-22302033","04-22302291","http://www.trunson.org.tw","trunson1999@yahoo.com.tw ","True","91","0","91","0",
"臺中市私立豐盛老人長期照顧中心","臺中市","豐原區","420南陽里圓環東路241號","420臺中市豐原區南陽里圓環東路241號","1","長期照護型機構","<year=102&class=2>","","04-25122371","04-25122370","https://www.facebook.com/fslc241/","fslc241@gmail.com ","True","23","23","0","0",
"桃園市私立康益老人長期照顧中心(長期照護型)","桃園市","桃園區","新生路165號5樓之1","桃園市桃園區新生路165號5樓之1","1","長期照護型機構","<year=104&class=2>","","?03-3347259","?03-3347138","無","?cody1655@gmail.com","True","21","0","14","0",
"桃園市私立慈庭老人長期照顧中心(長期照護型)","桃園市","桃園區","新生路165號6樓之2","桃園市桃園區新生路165號6樓之2","1","長期照護型機構","<year=102&class=1>","","?03-3319379","?03-3321748","無","?t33311.c55@msa.hinet.net","True","27","0","27","0",
"桃園市私立松林老人長期照顧中心(長期照護型)","桃園市","龜山區","復興北路6巷42號","桃園市龜山區復興北路6巷42號","1","長期照護型機構","<year=104&class=2>","","?3280950","?03-3288149","無","?evonne.huang@msa.hinet.net","True","46","0","46","0",
"桃園市私立龍祥老人長期照顧中心(長期照護型)","桃園市","龍潭區","高楊南路97-1號","桃園市龍潭區高楊南路97-1號","1","長期照護型機構","<year=102&class=3>","","?03-4718976","?03-4116429","www.tws999.com.tw/longshang","?ls97_1@yahoo.com.tw","True","42","0","42","0",
