"單位名稱","地址_縣市","地址_鄉鎮市區","地址","設立地址","機構狀態","服務類型","電話","傳真","單位網址","單位電子信箱",
"財團法人新竹縣天主教世光教養院辦理橫山日照中心","新竹縣","橫山鄉","新興街129號","新竹縣橫山鄉新興街129號","2","日間照顧服務","03-5932667","03-5942378","http://www.shihguang.org.tw","shihguang@xuite.net",
"中華民國紅十字會台灣省新竹縣支會(寶山日間照顧中心)","新竹縣","寶山鄉","寶新路2段570巷21號","新竹縣寶山鄉寶新路2段570巷21號","2","日間照顧服務","03-5762046         ","03-5762047","http://www.redcross.org.tw/RedCross/indexset/Sub_main14.jsp?groupid=134","hch.redc@msa.hinet.net",
"財團法人苗栗縣私立幼安教養院辦理老人日間照顧中心","苗栗縣","竹南鎮","南大路35之1號5樓","苗栗縣竹南鎮南大路35之1號5樓","2","日間照顧服務","037-551775","037-465651","http://www.yuan.org.tw/content.asp?m0=3&m2=3&m3=2","yuanhc420@gmail.com",
"社團法人苗栗縣銀髮族照顧協會","苗栗縣","竹南鎮","公園一街2號","苗栗縣竹南鎮公園一街2號","2","日間照顧服務","037-638962","037-638922","http://www.silvergroupcare.org/","silvergroupcare@gmail.com",
"財團法人苗栗縣私立大千社會福利慈善事業基金會","苗栗縣","大湖鄉","忠孝路69號","苗栗縣大湖鄉忠孝路69號","2","日間照顧服務","037-990839","037-990098","https://www.facebook.com/大湖鄉日間照顧中心-1622916307969353/?fref=ts","jack777233@gmail.com",
"象山園  日間照顧中心","苗栗縣","頭屋鄉","4鄰象山路197號","苗栗縣頭屋鄉4鄰象山路197號","2","日間照顧服務","037-256823","037-255166","無","ho9994@yahoo.com.tw",
"有限責任苗栗縣博愛照顧服務勞動合作社","苗栗縣","西湖鄉","8鄰埔頂2-1號","苗栗縣西湖鄉8鄰埔頂2-1號","2","日間照顧服務","037-920237","037-920229","無","st@icrctw.com",
"彰化縣?本快樂協進會","彰化縣","彰化市","平和一街134號","彰化縣彰化市平和一街134號","2","日間照顧服務","04-7517711","04-7517711","http://www.happy99life99.twmail.net/yellowpage/index.html","happy99life99@gmail.com",
"財團法人切膚之愛社會福利慈善事業基金會","彰化縣","彰化市","民族路209號5樓","彰化縣彰化市民族路209號5樓","2","日間照顧服務","04-7238595#1171/1172","04-7236861","http://www2.cch.org.tw/sgwlf/index.html","392431@cch.org.tw",
"財團法人老五老基金會","彰化縣","鹿港鎮","忠孝路403號3樓","彰化縣鹿港鎮忠孝路403號3樓","2","日間照顧服務,居家服務","04-7841455","04-7841453","http://www.ofo.org.tw/","jh@ofo.org.tw",
"彰化縣白玉功德會附設秀老郎日間照顧中心 ","彰化縣","員林鎮","至平街50巷39號","彰化縣員林鎮至平街50巷39號","2","日間照顧服務","04-8378009","04-8378018","https://www.facebook.com/show.lau.lan","palyul520@gmail.com",
"財團法人真善美社會福利慈善事業基金會附設順元日間照顧中心","彰化縣","田中鎮","中南路3段512號6樓","彰化縣田中鎮中南路3段512號6樓","2","日間照顧服務","04-8743747","04-8745231","https://www.facebook.com/a609sdccyh","609sdccyh@gmail.com  /  201adcyh@gmail.com",
"財團法人南投縣私立南投縣仁愛之家祥瑞居","南投縣","南投市","民族路617號","南投縣南投市民族路617號","2","日間照顧服務","049-2222151","049-2203711","http://www.ntrah.org.tw/ap/index.aspx","官網可留言",
"財團法人南投縣私立南投縣仁愛之家(長春居/失智症日間照顧","南投縣","南投市","民權街72巷18號","南投縣南投市民權街72巷18號","2","日間照顧服務","049-2243781","049-2248931","http://www.ntrah.org.tw/ap/index.aspx","abcde.a222151@msa.hinet.net",
"財團法人愚人之友社會福利慈善事業基金會","南投縣","埔里鎮","鐵山路6-5號","南投縣埔里鎮鐵山路6-5號","2","日間照顧服務","049-2918500","049-2915297","http://www.qif.org.tw/B-index.asp","pei76319@gmail.com",
"財團法人愚人之友社會福利慈善事業基金會","南投縣","埔里鎮","鐵山路6號","南投縣埔里鎮鐵山路6號","2","日間照顧服務,家庭托顧服務,失智症老人團體家屋,居家服務","049-2918500#11/31","049-2915297","http://www.qif.org.tw/B-index.asp","qif@mail.pch.org.tw",
"財團法人老五老基金會","南投縣","埔里鎮","八德路17號2樓","南投縣埔里鎮八德路17號2樓","2","日間照顧服務","049-2423533","049-2423197","http://www.ofo.org.tw","ponychang@ofo.org.tw",
"財團法人伊甸社會福利基金會","南投縣","中寮鄉","龍南路209-1號1樓","南投縣中寮鄉龍南路209-1號1樓","2","日間照顧服務","049-2603556","049-2220071","http://www.eden.org.tw/","eden158a@yahoo.com.tw",
"社團法人南投縣生活重建協會","南投縣","國姓鄉","長壽巷83-3號","南投縣國姓鄉長壽巷83-3號","2","日間照顧服務,居家服務","049-2720640","049-2720639","http://www.ntlife-liaw.url.tw/infoweb/","Liaw.a0423@msa.hinet.net",
"社團法人雲林縣老人福利保護協會","雲林縣","斗六市","虎溪路23-1號","雲林縣斗六市虎溪路23-1號","2","日間照顧服務,家庭托顧服務","05-5516286","05-5517539","http://www.carefamily.org.tw","oldmman@ms33.hinet.net",
"國立成功大學醫學院附設醫院斗六分院","雲林縣","斗六市","莊敬路345-11號","雲林縣斗六市莊敬路345-11號","2","日間照顧服務","05-5332121#5214","05-5341312","http://d6www.hosp.ncku.edu.tw/dept/psy/","w560118@yahoo.com.tw",
"社團法人雲林縣老人長期照護協會","雲林縣","斗六市","建興路146-2號","雲林縣斗六市建興路146-2號","2","日間照顧服務","05-5320910","05-5374215","http://www.careold.org.tw/","daycare.sun@msa.hinet.net",
"雲林縣聖心社會關懷協會","雲林縣","斗南鎮","新興街16號","雲林縣斗南鎮新興街16號","2","日間照顧服務","05-5977365","無","https://zh-tw.facebook.com/%E9%9B%B2%E6%9E%97%E7%B8%A3%E8%81%96%E5%BF%83%E7%A4%BE%E6%9C%83%E9%97%9C%E6%87%B7%E5%8D%94%E6%9C%83-1412715955665889/timeline/","ickuo@ms39.hinet.net",
"社團法人雲林縣老人福利保護協會","雲林縣","虎尾鎮","堀頭1號","雲林縣虎尾鎮堀頭1號","2","日間照顧服務","05-6225551","05-6226837","http://www.carefamily.org.tw","oldmman@ms33.hinet.net",
"雲林縣聖心社會關懷協會","雲林縣","土庫鎮","復興路28號","雲林縣土庫鎮復興路28號","2","日間照顧服務","05-6621365","05-6621345","https://zh-tw.facebook.com/%E9%9B%B2%E6%9E%97%E7%B8%A3%E8%81%96%E5%BF%83%E7%A4%BE%E6%9C%83%E9%97%9C%E6%87%B7%E5%8D%94%E6%9C%83-1412715955665889/timeline/","ickuo@ms39.hinet.net",
"社團法人雲林縣復健青年協進會","雲林縣","北港鎮","穎寧街72號","雲林縣北港鎮穎寧街72號","2","日間照顧服務","05-7827433","05-7730053","http://yunfull123.pixnet.net/blog","yunfull.pakang@gmail.com",
"社團法人雲林縣老人長期照護協會","雲林縣","古坑鄉","中山路33號","雲林縣古坑鄉中山路33號","2","日間照顧服務","05-5820192","05-5820190","http://www.careold.org.tw/","careold@seed.net.tw",
"財團法人老五老基金會","雲林縣","莿桐鄉","興北70-5號","雲林縣莿桐鄉興北70-5號","2","日間照顧服務","05-5845220","05-5845221","http://www.ofo.org.tw/","ezofoorgtw@gmail.com",
"財團法人伊甸社會福利基金會","雲林縣","二崙鄉","中興路62巷1弄32號","雲林縣二崙鄉中興路62巷1弄32號","2","日間照顧服務","05-5987893","05-5988759","https://www.eden.org.tw/","eden5747@mail.eden.org.tw",
"中華民國紅十字會台灣省雲林縣支會","雲林縣","東勢鄉","復興路5-1號","雲林縣東勢鄉復興路5-1號","2","日間照顧服務","05-6996538","05-6998743","http://www.ylc-redcross.org.tw","redcrossyunlin@kimo.com",
"中華民國紅十字會台灣省雲林縣支會","雲林縣","臺西鄉","中山路299巷56號","雲林縣臺西鄉中山路299巷56號","2","日間照顧服務","05-6985632","05-6980318","http://www.ylc-redcross.org.tw","redcrossyunlin@kimo.com",
"雲林縣口湖鄉老人福利協進會","雲林縣","口湖鄉","漁港路322-1號","雲林縣口湖鄉漁港路322-1號","2","日間照顧服務","05-7724520","05-7724851","https://www.facebook.com/%E9%9B%B2%E6%9E%97%E7%B8%A3%E8%81%96%E5%BF%83%E7%A4%BE%E6%9C%83%E9%97%9C%E6%87%B7%E5%8D%94%E6%9C%83-1412715955665889/timeline/#!/pages/%E5%90%91%E9%99%BD%E5%B1%85%E6%97%A5%E9%96%93%E7%85%A7%E9%A1%A7%E4%B8%AD%E5%BF%83/431101750329496","sunflower10107@gmail.com",
"雲林縣家園關懷協會","雲林縣","水林鄉","廟前路17巷17號","雲林縣水林鄉廟前路17巷17號","2","日間照顧服務","05-7853483","05-7854483","https://www.facebook.com/redappleshuilin/?ref=hl","redappleshuilin@gmail.com",
"財團法人私立天主教中華聖母社會福利慈善事業基金會(露德家園日間照顧中心)","嘉義縣","民雄鄉","牛斗山95-7號","嘉義縣民雄鄉牛斗山95-7號","2","日間照顧服務","05-2206442","無","無","luderdc@stm.org.tw",
"財團法人雙福社會福利慈善事業基金會(日安日間照顧中心)","嘉義縣","新港鄉","6鄰三間厝231號","嘉義縣新港鄉6鄰三間厝231號","2","日間照顧服務","05-3773841","無","無","cycht0224@gmail.com",
"財團法人嘉義縣私立天主教安道社會福利慈善事業基金會(鹿草聖家日間照顧中心)","嘉義縣","鹿草鄉","55-8號","嘉義縣鹿草鄉55-8號","2","日間照顧服務","05-3750194","05-3750194","無","su1795@ms14.hinet.net",
"財團法人伊甸社會福利基金會(馨梅園老人日間照顧中心)","嘉義縣","梅山鄉","成功街63號","嘉義縣梅山鄉成功街63號","2","日間照顧服務","05-262595705-2625961","無","無","eden6753@eden.org.tw",
"衛生福利部屏東醫院","屏東縣","屏東市","自由路270號","屏東縣屏東市自由路270號","2","日間照顧服務,居家服務","08-7363011#4101","08-7371284","http://www.pntn.mohw.gov.tw/?aid=home","jane1024@yahoo.com.tw",
"屏基護理之家日間照顧中心","屏東縣","屏東市","瑞光路三段九十六號","屏東縣屏東市瑞光路三段九十六號","2","日間照顧服務","08-7368686#7107","08/7377281","https://www.ptch.org.tw/ptch_nursi/main/nursiindex.html","nursehome@ptch.org.tw04573@ptch.org.tw",
"財團法人蘇天生文教基金會","屏東縣","東港鎮","新學路21號","屏東縣東港鎮新學路21號","2","日間照顧服務","08-8311265","08-8329966","無","a099202@mail.tsmh.org.tw",
"衛生福利部屏東醫院","屏東縣","高樹鄉","南昌路12之2號","屏東縣高樹鄉南昌路12之2號","2","日間照顧服務","08-7964722","08-7964722","http://www.pntn.mohw.gov.tw/?aid=home","jane1024@yahoo.com.tw",
"社團法人屏東縣聖佳照顧關懷協會","屏東縣","竹田鄉","福安路46號","屏東縣竹田鄉福安路46號","2","日間照顧服務","08-7801237","08-","無","j1j2j33@gmail.com",
"恆基醫療財團法人恆春基督教醫院-車城日照中心","屏東縣","車城鄉","福安路2-7號","屏東縣車城鄉福安路2-7號","2","日間照顧服務","08-8823339","08-8822389","http://www.hcch.org.tw/index.php","k310539@hotmail.com",
"社團法人屏東縣瑪家鄉全人發展照護關懷協會","屏東縣","瑪家鄉","泰平巷77-3號","屏東縣瑪家鄉泰平巷77-3號","2","日間照顧服務","08-7990072","08-7990284","無","f00211073@yahoo.com",
"屏東縣泰武鄉武潭社區發展協會","屏東縣","泰武鄉","潭中巷83號","屏東縣泰武鄉潭中巷83號","2","日間照顧服務","08-7836615","無","無","ljuzen0415@yahoo.com.tw",
"天主教花蓮教區醫療財團法人台東聖母醫院","臺東縣","臺東市","杭州街2號","台東縣台東市杭州街2號","2","日間照顧服務,家庭托顧服務","089-322833#200","089-321990","http://www.st-mary.org.tw/index.php","day-care@st-mary.org.tw",
"臺東縣聖心全人關懷協會","臺東縣","成功鎮","中華路150號","台東縣成功鎮中華路150號","2","日間照顧服務","089-853161","089-851016","http://www.webdo.com.tw/web_explain.php?userid=wakang","sensin161@ymail.com",
"財團法人一粒麥子社會福利慈善事業基金會","臺東縣","關山鎮","三民路12號","台東縣關山鎮三民路12號","2","日間照顧服務","089-810475","089-810475","http://www.wheat.org.tw/WheatWeb/","a03101@tch.org.tw",
"社團法人臺東縣天主教愛德婦女協會","臺東縣","海端鄉","錦屏5-2號","台東縣海端鄉錦屏5-2號","2","日間照顧服務","089-863650","089-863130","http://www.twlca.org/twlca2/","lca335482@gmail.com",
"光復老人日間照顧中心","花蓮縣","光復鄉","林森路426巷37號","花蓮縣光復鄉林森路426巷37號","2","日間照顧服務","03-8705470","03-8705746","http://www.wheat.org.tw/WheatWeb/b_01_01_11_02.aspx","umin.wheat@gmail.com",
"衛生福利部澎湖老人之家","澎湖縣","馬公市","光華里123號","澎湖縣馬公市光華里123號","2","日間照顧服務","06-9217056","06-9214096","http://phsch.mohw.gov.tw/chinese/ch/main.asp","phe53@phsch.mohw.gov.tw",
"財團法人平安社會福利慈善事業基金會","澎湖縣","馬公市","西文里新生路351號","澎湖縣馬公市西文里新生路351號","2","日間照顧服務","06-9218352","06-9217390","http://www.peacefoundation.org.tw/web/peace/40","penan_ma_gong@yahoo.com.tw",
"湖西香柏園","澎湖縣","湖西鄉","澎湖縣湖西鄉西溪村126號之1","澎湖縣湖西鄉西溪村澎湖縣湖西鄉西溪村126號之1","2","日間照顧服務","06-9923517","","","",
"財團法人平安社會福利慈善事業基金會","澎湖縣","白沙鄉","講美村103之1號","澎湖縣白沙鄉講美村103之1號","2","日間照顧服務","06-9933531","06-9931952","http://www.peacefoundation.org.tw/web/peace/40","penan_chiang_mei@yahoo.com.tw",
"財團法人平安社會福利慈善事業基金會","澎湖縣","望安鄉","澎湖縣望安鄉水垵村45號","澎湖縣望安鄉澎湖縣望安鄉水垵村45號","2","日間照顧服務","06-9991195","06-9991197","http://www.peacefoundation.org.tw/web/peace/40","penanwangan@gmail.com",
"第一老人日間照顧中心","基隆市","中正區","中船路11號4樓","基隆市中正區中船路11號4樓","2","日間照顧服務","02-24225570","02-24225571","http://www.slsc.org.tw/?page_id=151","kldaycare@slsc.org.tw",
"第二老人日間照顧中心","基隆市","七堵區","泰安路24-1號","基隆市七堵區泰安路24-1號","2","日間照顧服務","02-24516920","","","",
"基隆市立醫院","基隆市","信義區","東信路282號","基隆市信義區東信路282號","2","日間照顧服務","02-24652141#265","02-24663048","http://www.kmh.gov.tw/Information/Specially_day_care.asp","hsant@kmh.gov.tw",
"財團法人老五老基金會","新竹市","東區","安康街5巷1號3樓","新竹市東區安康街5巷1號3樓","2","日間照顧服務,居家服務","03-5794009","03-5777148","http://www.ofo.org.tw/","yoye1029@ofo.org.tw",
"財團法人天主教耶穌會新竹社會服務中心(秋霖園)","新竹市","北區","北大路373號","新竹市北區北大路373號","2","日間照顧服務","03-5224153","03-5227193","http://www.cssc.org.tw/","dc@twcsssc.org",
"財團法人基督教中華協力會附設新竹市私立伯大尼老人養護中心","新竹市","香山區","延平路一段491號","新竹市香山區延平路一段491號","2","日間照顧服務","03-5255900","03-5255901","https://zh-tw.facebook.com/bethanyeldercenter","amandajansan@yahoo.com.tw",
"長青園","嘉義市","東區","公義路1號","嘉義市東區公義路1號","2","日間照顧服務","05-2763636","05-2752771","無","cych003563@gmail.com",
"財團法人私立天主教中華聖母社會福利慈善事業基金會(聖愛家園)","嘉義市","東區","芳安路103號","嘉義市東區芳安路103號","2","日間照顧服務","05-2289916#1800","05-2760796","http://www.stm.org.tw/solc/index.htm","grouphome@stm.org.tw",
"戴德森醫療財團法人嘉義基督教醫院(拾智園)","嘉義市","西區","北興街178號","嘉義市西區北興街178號","2","日間照顧服務","05-2348836","05-2348835","http://www.cychhome.org.tw/","cychhome@gmail.com",
"財團法人私立天主教中華聖母社會福利慈善事業基金會(活泉之家)","嘉義市","西區","新榮路35巷11號","嘉義市西區新榮路35巷11號","2","日間照顧服務","05-2780040#3220","05-2774820","http://www.stm.org.tw/solc/index.htm","s950730@stm.org.tw",
"戴德森醫療財團法人嘉義基督教醫院","嘉義市","西區","自由路426號","嘉義市西區自由路426號","2","日間照顧服務,家庭托顧服務,居家服務","05-2348836","05-2348835","http://www.cychhome.org.tw/","cychhome@gmail.com",
"社團法人中華民國弘道志工協會(松山老人日間照顧中心)","臺北市","松山區","南京東路五段251巷46弄5號1-3 樓","台北市松山區南京東路五段251巷46弄5號1-3 樓","2","日間照顧服務","02-27616300","02-27617599","http://www.hondao.org.tw/article.php?article_cid=9&article_id=2122","hondao@hondao.org.tw",
"中華民國紅心字會(信義老人老人服務暨日間照顧中心)","臺北市","信義區","松隆路36號4樓","台北市信義區松隆路36號4樓","2","日間照顧服務","02-87870300","02-87870307","http://www.redheart.org.tw/index.php?code=list&ids=12","",
"大安區老人日間照顧服務","臺北市","大安區","新生南路3段52-5號5樓","台北市大安區新生南路3段52-5號5樓","2","日間照顧服務","02-23661321","無","http://www.i-link.org.tw/care.php?recordId=1243","",
"臺北市立聯合醫院仁愛院區附設仁鶴軒失智日間病房","臺北市","大安區","仁愛路4段10號5樓(東側)","台北市大安區仁愛路4段10號5樓(東側)","2","日間照顧服務","02-27093600#3159","無","http://www.tpech.gov.taipei/ct.asp?xItem=1059229&CtNode=27678&mp=109151","",
"財團法人台灣省私立健順養護中心(中山老人住宅暨服務中心附設日間照顧中心)","臺北市","中山區","新生北路二段101巷2號 ","台北市中山區新生北路二段101巷2號 ","2","日間照顧服務","02-25420006","02-25420222","http://zselder.blogspot.tw/","",
"財團法人台灣基督長老教會馬偕紀念社會事業基金會馬偕紀念醫院(大同老人日間照顧中心)","臺北市","大同區","昌吉街52號9樓","台北市大同區昌吉街52號9樓","2","日間照顧服務","02-25988710","02-25988708","http://www.mmh.org.tw/taitam/commnurs/daycare.htm","",
"財團法人台北市立心慈善基金會(龍山老人服務暨日間照顧中心)","臺北市","萬華區","梧州街36號3樓","台北市萬華區梧州街36號3樓","2","日間照顧服務","02-23361881 02-23368831","02-23368831","http://www.lishin.org.tw/11","",
"財團法人天主教失智老人社會福利基金會附設臺北市私立聖若瑟失智老人養護中心","臺北市","萬華區","德昌街125巷11號1樓 ","台北市萬華區德昌街125巷11號1樓 ","2","日間照顧服務","02-23046716","02-23320877","http://www.cfad.org.tw/","",
"財團法人臺北市私立恆安老人養護中心(臺北市兆如老人養護中心附設日間照顧)","臺北市","文山區","政大二街129號 ","台北市文山區政大二街129號 ","2","日間照顧服務","02-86616365","02-86618615","http://chaoju.hangan.org/","",
"財團法人獎卿護理展望基金會(文山老人養護中心附設日間照顧)","臺北市","文山區","興隆路二段95巷8號3樓","台北市文山區興隆路二段95巷8號3樓","2","日間照顧服務","02-89313190","02-89311421","http://www.ccfnh.com.tw/article2-2.html","",
"財團法人台灣省私立健順養護中心(南港老人服務暨日間照顧中心)","臺北市","南港區","重陽路187巷5號1、2樓","台北市南港區重陽路187巷5號1、2樓","2","日間照顧服務","02-26535311","02-26522081","http://blog.roodo.com/nkelder","",
"財團法人台北市中國基督教靈糧世界佈道會士林靈糧堂(西湖老人日間照顧中心)","臺北市","內湖區","內湖路一段285號6樓 ","台北市內湖區內湖路一段285號6樓 ","2","日間照顧服務","02-26561700","02-26561701","http://www.slsc.org.tw/?page_id=1090","",
"內湖區老人日間照顧服務","臺北市","內湖區","康樂街136巷15弄1號","台北市內湖區康樂街136巷15弄1號","2","日間照顧服務","02-26307538","無","http://www.slsc.org.tw/?page_id=1096","",
"臺北市立聯合醫院陽明院區附設得憶齋失智失能日間照顧中心","臺北市","士林區","雨聲街105號","台北市士林區雨聲街105號","2","日間照顧服務","02-28353456#8310","無","http://www.tpech.gov.taipei/ct.asp?xItem=49827027&CtNode=64703&mp=109181","",
"財團法人天主教耕莘醫院(臺北市至善老人養護中心附設日間照顧)","臺北市","士林區","仰德大道二段2巷50號 ","台北市士林區仰德大道二段2巷50號 ","2","日間照顧服務","02-28832666","02-28801150","http://zhishan01.myweb.hinet.net/","",
"財團法人台北市中國基督教靈糧世界佈道會士林靈糧堂(士林老人服務暨日間照顧中心)","臺北市","士林區","忠誠路二段53巷7號6樓","台北市士林區忠誠路二段53巷7號6樓","2","日間照顧服務","02-28381571","02-28381572","http://www.slsc.org.tw/","",
"北投區老人日間照顧服務","臺北市","北投區","裕民6路120號3樓","台北市北投區裕民6路120號3樓","2","日間照顧服務","02-28218267","02-28217263","http://www.eden.org.tw/contact_service_detail.php?team_id=6&service_id=138","dep419@mail.eden.org.tw",
"北區支持型住宅-銀髮家園暨老人社區照顧服務(失能老人日間照顧)支援中心(委託社團法人台灣身心機能活化運動協會辦理)","高雄市","左營區","翠華路601巷67號","高雄市左營區翠華路601巷67號","2","日間照顧服務","07-5828511","07-5828510","http://m.facebook.com/PMFRE/","silver.home@msa.hinet.net  ",
"國軍高雄總醫院左營分院日間照顧中心(國軍高雄總醫院左營分院附設民眾診療服務處辦理)","高雄市","左營區","軍校路553號","高雄市左營區軍校路553號","2","日間照顧服務","07-5858420","07-5858420","http://806.mnd.gov.tw/daily/index.php","n000818@mail.ngh.com.tw ",
"長青日間照顧中心(委託財團法人高雄市郭吳麗珠社會福利慈善事業基金會辦理)","高雄市","苓雅區","四維二路51號6樓","高雄市苓雅區四維二路51號6樓","2","日間照顧服務","07-7112867 ","07-7110655","http://m.facebook.com/財團法人郭吳麗珠社會福利慈善事業基金會-217483958327288/","ln.daycare@msa.hinet.net  ",
"失智老人日間照顧中心(委託財團法人天主教聖功醫院辦理)","高雄市","苓雅區","建國一路352號4樓","高雄市苓雅區建國一路352號4樓","2","日間照顧服務","07-2238153#2293","07-2239410","http://www.joseph.org.tw/index.php?rurl=page01.php&service=21","swallow650529@yahoo.com.tw",
"崗山仔老人日間照顧中心(委託財團法人天主教社會福利慈善基金會辦理)","高雄市","前鎮區","瑞孝街33號","高雄市前鎮區瑞孝街33號","2","日間照顧服務","07-7171169","07-7158624","http://m.facebook.com/old7170958/","yea.yea1234@msa.hinet.net ",
"五甲老人日間照顧中心(委託財團法人高雄市郭吳麗珠社會福利慈善事業基金會辦理)","高雄市","鳳山區","福誠二街168號3樓","高雄市鳳山區福誠二街168號3樓","2","日間照顧服務","07-8113255 ","07-8111966","http://m.facebook.com/財團法人郭吳麗珠社會福利慈善事業基金會-217483958327288/","wj.daycare@msa.hinet.net  ",
"高雄市鳳山老人活動中心日間照顧服務(委託財團法人高雄市郭吳麗珠社會福利慈善事業基金會辦理)","高雄市","鳳山區","光遠路222號","高雄市鳳山區光遠路222號","2","日間照顧服務","07-7997255    ","07-7997256","http://m.facebook.com/財團法人郭吳麗珠社會福利慈善事業基金會-217483958327288/","fs.daycare@msa.hinet.net  ",
"大寮老人日間照顧中心(委託一祥居家護理所)","高雄市","大寮區","光明路三段1257巷51號2樓","高雄市大寮區光明路三段1257巷51號2樓","2","日間照顧服務","07-7018501","07-3464148","http://m.facebook.com/大寮老人日照中心-1376465632611956/","e3333angel@yahoo.com.tw",
"高雄市明山慈安居老人日間照顧中心(委託財團法人高雄市私立典寶社會福利慈善事業基金會辦理)","高雄市","仁武區","成功路5號","高雄市仁武區成功路5號","2","日間照顧服務","07-3745429","07-3723668","http://m.facebook.com/明山慈安居老人日間照顧中心-300023246787995/","dbtah598@gmail.com ",
"燕巢老人日間照顧中心(委託財團法人高雄市郭吳麗珠社會福利慈善事業基金會辦理)","高雄市","燕巢區","中興路431號","高雄市燕巢區中興路431號","2","日間照顧服務","07-6169885         ","07-6169875","http://m.facebook.com/財團法人郭吳麗珠社會福利慈善事業基金會-217483958327288/","yan.daycare@msa.hinet.net  ",
"衛生福利部旗山醫院日間照顧中心(衛生福利部旗山醫院辦理)","高雄市","旗山區","中學路60號","高雄市旗山區中學路60號","2","日間照顧服務","07-6613811#3003","07-6624298","http://www.chis.mohw.gov.tw/?aid=52&pid=116&page_name=detail&iid=322","cheidaycare0310@gmail.com ",
"內門老人日間照顧中心(委託財團法人高雄市萃文書院社會福利慈善事業基金會辦理)","高雄市","內門區","內埔81之10號3樓","高雄市內門區內埔81之10號3樓","2","日間照顧服務","07-6671690","07-6672888#117","無","csy629749@gmail.com",
"財團法人台灣省私立健順養護中心辦理新北市板橋頤安公共托老中心-日間照顧暨銀髮俱樂部","新北市","板橋區","廣權路130號2樓","新北市板橋區廣權路130號2樓","2","日間照顧服務","02-89593885","無","無","",
"財團法人新北市大樹社會福利基金會辦理板橋海山日間公共托老中心-日間照顧暨銀髮俱樂部","新北市","板橋區","長安街253號1至2樓","新北市板橋區長安街253號1至2樓","2","日間照顧服務","02-89520151","無","無","",
"財團法人臺北市立心慈善基金會辦理新北市三重溪美公共托老中心-日間照顧中心暨銀髮俱樂部","新北市","三重區","溪尾街73號4樓","新北市三重區溪尾街73號4樓","2","日間照顧服務","02-89859771","無","無","",
"長庚學校財團法人長庚科枝大學辦理新北市三重台北橋公共托老中心-日間照顧暨銀髮俱樂部","新北市","三重區","重新路一段108號2樓","新北市三重區重新路一段108號2樓","2","日間照顧服務","02-29769115","無","無","",
"社團法人新北市身心障礙者福利促進協會辦理中和大同日間公共托老中心-日間照顧暨銀髮俱樂部","新北市","中和區","圓通路121巷5號2至4樓","新北市中和區圓通路121巷5號2至4樓","2","日間照顧服務","02-22400662","無","無","",
