"單位名稱","地址_縣市","地址_鄉鎮市區","地址","設立地址","機構狀態","服務類型","服務區域","電話","傳真","單位網址","單位電子信箱","護理人員_合計","醫事人員_合計",
"宜蘭縣宜蘭縣冬山鄉衛生所附設居家護理所","宜蘭縣","冬山鄉","中正路16號","宜蘭縣冬山鄉中正路16號","2","居家護理","宜蘭縣冬山鄉","03-9594772","03-9592981","http://don.ilshb.gov.tw/","cjing@mail.e-land.gov.tw","1","1",
"私立誼華居家護理所","宜蘭縣","五結鄉","鎮安路15巷22弄2號","宜蘭縣五結鄉鎮安路15巷22弄2號","2","居家護理","宜蘭縣","03-9504090","03-9577873","無","fanfan910516@yahoo.com.tw","2","2",
"宜蘭縣宜蘭縣五結鄉衛生所附設居家護理所","宜蘭縣","五結鄉","五結路二段337號","宜蘭縣五結鄉五結路二段337號","2","居家護理","宜蘭縣五結鄉","03-9501564","03-9507085","http://wuj.ilshb.gov.tw/","su-ruei@mail.e-land.gov.tw","4","1",
"宜蘭縣五結鄉衛生所附設居家護理所","宜蘭縣","五結鄉","五結路二段337號","宜蘭縣五結鄉五結路二段337號","2","居家護理","宜蘭縣五結鄉","03-9501564","03-9507085","http://wuj.ilshb.gov.tw/","su-ruei@mail.e-land.gov.tw","4","1",
"宜蘭縣三星鄉衛生所附設居家護理所","宜蘭縣","三星鄉","三星路五段70號","宜蘭縣三星鄉三星路五段70號","2","居家護理","宜蘭縣三星鄉","03-9892227","03-9893416","http://san.ilshb.gov.tw/","G8911224111@mail.e-land.gov.tw","1","1",
"宜蘭縣宜蘭縣三星鄉衛生所附設居家護理所","宜蘭縣","三星鄉","三星路五段70號","宜蘭縣三星鄉三星路五段70號","2","居家護理","宜蘭縣三星鄉","03-9892227","03-9893416","http://san.ilshb.gov.tw/","G8911224111@mail.e-land.gov.tw","1","1",
"宜蘭縣大同鄉衛生所","宜蘭縣","大同鄉","朝陽巷40號","宜蘭縣大同鄉朝陽巷40號","2","居家護理","宜蘭縣大同鄉","03-9801175","03-9801050","http://dat.ilshb.gov.tw/","nili2419@mail.e-land.gov.tw","2","0",
"宜蘭縣大同鄉衛生所附設居家護理所","宜蘭縣","大同鄉","朝陽巷40號","宜蘭縣大同鄉鄉朝陽巷40號","2","居家護理","宜蘭縣大同鄉鄉","03-9801175","03-9801050","http://dat.ilshb.gov.tw/","nili2419@mail.e-land.gov.tw","2","0",
"宜蘭縣南澳鄉衛生所附設居家護理所","宜蘭縣","南澳鄉","蘇花路二段375號","宜蘭縣南澳鄉蘇花路二段375號","2","居家護理","宜蘭縣南澳鄉","03-9981019","03-9982405","http://nan.ilshb.gov.tw/","無","1","2",
"竹北市衛生所附設居家護理所","新竹縣","竹北市","光明二街89號","新竹縣竹北市光明二街89號","2","居家護理","新竹縣竹北市","03-5533384","03-5554592,03-5551864","","1002383@hchg.gov.tw","1","1",
"東元綜合醫院附設居家護理所","新竹縣","竹北市","光明九路9-1號5樓","新竹縣竹北市光明九路9-1號5樓","2","居家護理","新竹縣","03-5527000#1175","03-6565081","無","無","0","3",
"新仁醫院附設居家護理所","新竹縣","竹北市","博愛街331號","新竹縣竹北市博愛街331號","2","居家護理","新竹縣,苗栗縣,桃園縣,新竹市","03-5552611","03-5550917","無","sjh65@seed.neet.tw","4","3",
"大安醫院附設居家護理所","新竹縣","竹北市","博愛街318巷6號","新竹縣竹北市博愛街318巷6號","2","居家護理","新竹縣,新竹市","03-5557188#932","03-5557189","無","ting580125@yahoo.com.tw","5","4",
"美安居家護理所","新竹縣","竹北市","四維街95巷6-2號3樓","新竹縣竹北市四維街95巷6-2號3樓","2","居家護理","新竹縣,新竹市,桃園縣,苗栗縣","03-5517731","03-5533910","無","meian@pie.com.tw","2","3",
"國立臺灣大學醫學院附設醫院竹東分院附設居家護理所","新竹縣","竹東鎮","至善路52號","新竹縣竹東鎮至善路52號","2","居家護理","新竹縣竹東鎮,新竹縣北埔鄉,新竹縣芎林鄉,新竹縣橫山鄉,新竹縣關西鎮","03-5943248#1132","03-5944121","www.chut.ntuh.gov.tw","c04019@chut.ntuh.gow","2","2",
"臺北榮民總醫院新竹分院附設居家護理所","新竹縣","竹東鎮","中豐路一段81號","新竹縣竹東鎮中豐路一段81號","2","居家護理","新竹縣竹東鎮,新竹縣關西鎮,新竹縣橫山鄉,新竹縣北埔鄉,新竹縣芎林鄉","03-5962134#564","03-6214992","http://www.vhct.gov.tw/","wu5871415@yahoo.com.tw","2","2",
"竹東鎮衛生所附設居家護理所","新竹縣","竹東鎮","中正路221號","新竹縣竹東鎮中正路221號","2","居家護理","新竹縣竹東鎮","03-5943566","03-5942370","無","無","1","1",
"新埔鎮衛生所附設居家護理所","新竹縣","新埔鎮","3鄰中正路758號","新竹縣新埔鎮3鄰中正路758號","2","居家護理","新竹縣新埔鎮","03-5882017","03-5891221","http://www.hcshb.gov.tw/sinpu/","1003545@hchg.gov.tw","5","1",
"關西鎮衛生所附設居家護理所","新竹縣","關西鎮","中山路207號","新竹縣關西鎮中山路207號","2","居家護理","新竹縣關西鎮","03-5872335","03-5870376","http://www.hcshb.gov.tw/Kuanshi/","無","7","1",
"天主教仁慈醫療財團法人附設新竹仁慈居家護理所","新竹縣","湖口鄉","15鄰忠孝路29號","新竹縣湖口鄉15鄰忠孝路29號","2","居家護理","新竹縣湖口鄉,新竹縣新豐鄉","03-5993500#2217","03-5906572","http://www.mercy.org.tw","6125@mercy.org.tw","3","3",
"湖口鄉衛生所附設居家護理所","新竹縣","湖口鄉","中興街36號","新竹縣湖口鄉中興街36號","2","居家護理","新竹縣湖口鄉","03-5992654","03-5902042","無","1002310@hchg.gov.tw","0","1",
"新豐鄉衛生所附設居家護理所","新竹縣","新豐鄉","建興路二段748巷25號","新竹縣新豐鄉建興路二段748巷25號","2","居家護理","新竹縣新豐鄉","03-5591151","03-5571302","無","1000236@hchg.gov.tw","1","1",
"芎林鄉衛生所附設居家護理所","新竹縣","芎林鄉","文山路532號","新竹縣芎林鄉文山路532號","2","居家護理","新竹縣芎林鄉","03-5924787","03-5924041","無","1000123@hchg.gov.tw","4","1",
"橫山鄉衛生所附設居家護理所","新竹縣","橫山鄉","3鄰新興街141巷10號","新竹縣橫山鄉3鄰新興街141巷10號","2","居家護理","新竹縣橫山鄉","03-5932004","03-5932014","http://www.hcshb.gov.tw/hengshan/","10011389@hchg.gov.tw","5","1",
"北埔鄉衛生所附設居家護理所","新竹縣","北埔鄉","北埔街90號","新竹縣北埔鄉北埔街90號","2","居家護理","新竹縣芎林鄉","03-5802304","03-5601056","http://www.hcshb.gov.tw","ou376440350I2402@hchg.gov.tw","5","1",
"寶山鄉衛生所附設居家護理所","新竹縣","寶山鄉","7鄰雙園路二段273號","新竹縣寶山鄉7鄰雙園路二段273號","2","居家護理","新竹縣寶山鄉","03-5203054","03-5209974","http://www.hcshb.gov.tw/baoshan/","1000134@hchg.gov.tw","1","1",
"峨眉鄉衛生所附設居家護理所","新竹縣","峨眉鄉","2鄰5號","新竹縣峨眉鄉2鄰5號","2","居家護理","新竹縣峨眉鄉","03-5800314, 03-5800014","03-5800195","無","7925195@hchg.gov.tw","5","1",
"尖石鄉衛生所附設居家護理所","新竹縣","尖石鄉","2鄰61號","新竹縣尖石鄉2鄰61號","2","居家護理","新竹縣尖石鄉","03-5842356","03-5842218","www.hcshb.gov.tw/jianshih/","ou376440352I0000@hehg.gov.tw","12","2",
"五峰鄉衛生所附設居家護理所","新竹縣","五峰鄉","6鄰99號","新竹縣五峰鄉6鄰99號","2","居家護理","新竹縣五峰鄉","03-5851005","03-5851276","http://www.hcshb.gov.tw/wufong/index.jsp","5828814@hchg.gov.tw","0","2",
"大千綜合醫院附設居家護理所","苗栗縣","苗栗市","信義街23號B1樓","苗栗縣苗栗市信義街23號B1樓","2","居家護理","苗栗市","037-357125#61208","037-362813","a504@dachien.com.tw","a504@dachien.com.tw","6","3",
"男丁格爾居家護理所","苗栗縣","苗栗市","8鄰中華路607巷15弄71號","苗栗縣苗栗市8鄰中華路607巷15弄71號","2","居家護理","苗栗縣,台中市豐原區","037-262540","037-267048","無","er901234@yahoo.com.tw","2","1",
"汎格安居家護理所","苗栗縣","苗栗市","16鄰中華東街402號2樓","苗栗縣苗栗市16鄰中華東街402號2樓","2","居家護理","苗栗縣","037-266070","037-267400","http://vkahc.myweb.hinet.net/2.htm","vka266070@gmail.com","1","1",
"順馨居家護理所","苗栗縣","苗栗市","新庄街350巷6號","苗栗縣苗栗市新庄街350巷6號","2","居家護理","苗栗縣","037-372999","037-360072","無","suewem@yahoo.com.tw","2","0",
"衛生福利部苗栗醫院附設居家護理所","苗栗縣","苗栗市","為公路747號","苗栗縣苗栗市為公路747號","2","居家護理","苗栗縣,苗栗市","037-261920","037-261936","81193@mail.mohw.gov.tw","81193@mail.mohw.gov.tw","1","1",
"李綜合醫療社團法人附設苑裡居家護理所","苗栗縣","苑裡鎮","和平路168號","苗栗縣苑裡鎮和平路168號","2","居家護理","苗栗縣苑裡鎮,苗栗縣通霄鎮,苗栗縣後龍鎮,台中市大甲區","037-862387","037-862377","www.leehospital.com.tw","luke0131@yahoo.com.tw","2","0",
"重光醫院附設居家護理所","苗栗縣","頭份鎮","中華路1039號","苗栗縣頭份市中華路1039號","2","居家護理","苗栗縣頭份鎮,苗栗縣竹南鎮,苗栗縣造橋鄉","037-591421","037-682971","http://chorng-guang.myweb.hinet.net/","Chorng.cuang@msa.hinet.net","2","0",
"財團法人為恭紀念醫院附設居家護理所","苗栗縣","頭份鎮","信義路128號","苗栗縣頭份市信義路128號","2","居家護理","苗栗縣頭份鎮,苗栗縣竹南鎮","037-676811#88888","037-691672","http://www.weigong.org.tw/hospitalized-residence.html","hp@weigong.org.tw","2","1",
"衛能居家護理所","苗栗縣","後龍鎮","13鄰26-11號","苗栗縣後龍鎮13鄰26-11號","2","居家護理","新竹縣,台中市,苗栗縣","037-726725","037-727206","無","k19780906@ymail.com","1","1",
"三義鄉衛生所附設居家護理所","苗栗縣","三義鄉","復興路45號","苗栗縣三義鄉復興路45號","2","居家護理","苗栗縣三義鄉","037-872014","037-873172","無","say03@tcmail.mohw.gov.tw","1","0",
"彰宜居家護理所","彰化縣","彰化市","16鄰崙平南路435號8樓","彰化縣彰化市16鄰崙平南路435號8樓","2","居家護理","彰化縣,南投縣","04-7615755","04-7615785","無","chi@pie.com.tw","4","8",
"彰化基督教醫療財團法人附設彰化基督教居家護理所","彰化縣","彰化市","南校街135號","彰化縣彰化市南校街135號","2","居家護理","彰化縣,臺中市","04-7238595#4511","04-7238595#4511","http://www2.cch.org.tw/layout_1/index.aspx?id=7500","d7500@cch.org.tw","9","14",
"秀傳醫療社團法人附設秀傳居家護理所","彰化縣","彰化市","中山路一段542號","彰化縣彰化市中山路一段542號","2","居家護理","彰化縣","04-7240829","04-7288828","無","homecare@show.org.tw","3","2",
"芳鄰居家護理所","彰化縣","彰化市","12鄰向陽街213巷2弄15號","彰化縣彰化市12鄰向陽街213巷2弄15號","2","居家護理","彰化縣","04-7521226","04-7515475","無","june0921@yahoo.com.tw","2","1",
"彰化基督教醫療財團法人附設鹿港基督教居家護理所","彰化縣","鹿港鎮","中正路480號","彰化縣鹿港鎮中正路480號","2","居家護理","彰化縣鹿港鎮,彰化縣和美鎮,彰化縣線西鄉,彰化縣伸港鄉,彰化縣秀水鄉,彰化縣埔鹽鄉,彰化縣福興鄉","04-7779595#7984","04-7761879","http://www.rc.cch.org.tw/index.aspx","709122@cch.org.tw","3","3",
"秀傳醫療財團法人附設彰濱居家護理所","彰化縣","鹿港鎮","鹿工路6號3樓","彰化縣鹿港鎮鹿工路6號3樓","2","居家護理","彰化縣","04-7813888#73179","","無","cbhomecare@show.org.tw","1","0",
"慈光護理之家增設居家護理業務","彰化縣","和美鎮","28鄰孝文路110號","彰化縣和美鎮28鄰孝文路110號","2","居家護理","彰化縣","04-7573895","04-7577437","http://tknh7437.myweb.hinet.net/","tknh7437@yahoo.com.tw","1","1",
"家歆居家護理所","彰化縣","花壇鄉","14鄰中正路355號","彰化縣花壇鄉14鄰中正路355號","2","居家護理","彰化縣,臺中市,南投縣,雲林縣,嘉義縣","04-7882595","04-7883419","http://blog.xuite.net/yvonne500001/ChanghuaHomecare","selena6041@yahoo.com.tw","4","4",
"祥安居家護理所","彰化縣","花壇鄉","忠孝街100號2樓","彰化縣花壇鄉忠孝街100號2樓","2","居家護理","彰化縣","04-7878555","04-7879222","無","leo-mb723@yahoo.com.tw","2","1",
"仁堡護理之家增設居家護理業務","彰化縣","花壇鄉","中山路一段40巷68號","彰化縣花壇鄉中山路一段40巷68號","2","居家護理","彰化縣","04-7868567","04-7870733","無","Yu.chin.chang@yahoo.com.tw","2","1",
"私立芬園居家護理所","彰化縣","芬園鄉","進芬村中山路6號","彰化縣芬園鄉進芬村中山路6號","2","居家護理","彰化縣彰化市,彰化縣和美鎮,彰化縣伸港鄉,彰化縣線西鄉,彰化縣員林市,彰化縣大村鄉,彰化縣埔心鄉,彰化縣永靖鄉,彰化縣田尾鄉,彰化縣秀水鄉,彰化縣社頭鄉,彰化縣田中鎮,彰化縣二水鄉,彰化縣北斗鎮,彰化縣溪州鄉,彰化縣鹿港鎮,彰化縣福興鄉,彰化縣埔鹽鄉,彰化縣溪湖鎮,南投縣草屯鎮","0931-333849","無","無","chang523588@gmail.com","","",
"伍倫醫療社團法人附設員榮居家護理所","彰化縣","員林鎮","中正路201號","彰化縣員林鎮中正路201號","2","居家護理","彰化縣","04-8326161#109","04-8319758","http://www.yuanrung.com.tw/ch/default.asp","y6y0323@gmail.com","2","2",
"惠來醫療社團法人附設清馨居家護理所","彰化縣","員林鎮","11鄰惠來街89號","彰化縣員林鎮11鄰惠來街89號","2","居家護理","彰化縣員林鎮,彰化縣田中鎮,彰化縣北斗鎮,彰化縣田尾鄉,彰化縣社頭鄉,彰化縣福興鄉,彰化縣埔鹽鄉,彰化縣埔心鄉,彰化縣溪湖鎮,彰化縣花壇鄉,彰化縣秀水鄉,彰化縣芳園鄉,南投縣竹山鎮","04-8375878#230,106","04-8375593","http://www.hongren.com.tw/","nurse@mail.hongren.com.tw","6","4",
"員林郭醫院附設護理之家增設居家護理業務","彰化縣","大村鄉","田洋橫巷2-9號","彰化縣大村鄉田洋橫巷2-9號","2","居家護理","彰化縣花壇鄉,彰化縣大村鄉,彰化縣員林鎮,彰化縣芳園鄉,彰化縣北斗鎮,彰化縣埔鹽鄉","04-8539888","04-8525966","http://www.kuohospital.com.tw/","nh8539888@yahoo.com.tw","2","3",
"衛生福利部彰化醫院附設居家護理所","彰化縣","埔心鄉","中正路二段80號","彰化縣埔心鄉中正路二段80號","2","居家護理","彰化縣","04-8298686#7931","04-8299967","無","homecare@chhw.mohw.gov.tw","2","3",
"儀馨居家護理所","彰化縣","社頭鄉","松竹村社石路940號","彰化縣社頭鄉松竹村社石路940號","2","居家護理","彰化縣社頭鄉","無","無","無","","","",
"珍瑩居家護理所","彰化縣","社頭鄉","朝興村山腳路2段724之3號","彰化縣社頭鄉朝興村山腳路2段724之3號","2","居家護理","彰化縣社頭鄉","無","無","無","","","",
"彰化縣二水鄉衛生所附設居家護理所","彰化縣","二水鄉","過圳路19號","彰化縣二水鄉過圳路19號","2","居家護理","彰化縣二水鄉","04-8791077","04-8794080","無","無","1","1",
"卓醫院附設護理之家增設居家護理業務","彰化縣","北斗鎮","中山路一段311號2,6樓","彰化縣北斗鎮中山路一段311號2,6樓","2","居家護理","彰化縣","04-8882995","04-8882617","http://www.chohp.com.tw/profile_list.php","chonh308@gmail.com","10","1",
"彰化基督教醫療財團法人附設二林基督教居家護理所","彰化縣","二林鎮","安和街40巷28號7樓","彰化縣二林鎮安和街40巷28號7樓","2","居家護理","彰化縣二林鎮,彰化縣芳苑鄉,彰化縣大城鄉,彰化縣埤頭鄉,彰化縣竹塘鄉,彰化縣溪州鄉,彰化縣南溪湖","04-8967755","04-8966991","無","125460@cch.org.tw","2","2",
"東明護理之家增設居家護理業務","彰化縣","二林鎮","斗苑路三段390巷77號","彰化縣二林鎮斗苑路三段390巷77號","2","居家護理","彰化縣","04-8956136","04-8955543","http://8956136.com.tw/","nursing136@yahoo.com.tw","2","1",
"洪宗鄰醫院附設護理之家增設居家護理業務","彰化縣","二林鎮","二溪路二段269號","彰化縣二林鎮二溪路二段269號","2","居家護理","彰化縣溪湖鎮","04-8955555","04-8956177","http://www.htlh.com.tw/nh/index.asp","Hong.hn@msa.hinet.net","1","2",
"名倫護理之家增設居家護理業務","彰化縣","溪州鄉","19鄰田中路49-30號","彰化縣溪州鄉19鄰田中路49-30號","2","居家護理","彰化縣","04-8806666","04-8803939","http://www.8806666.hos.tw/","uringlurn.nursing@msa.hinet.net","1","0",
"衛生福利部南投醫院附設居家護理所","南投縣","南投市","復興路478號","南投縣南投市復興路478號","2","居家護理","南投縣南投市,南投縣草屯鎮,南投縣中寮鄉,南投縣名間鄉","049-2231150","049-2242537","http://www.nant.mohw.gov.tw/","n00530@mant.mohw.gov.tw","1","3",
"南基醫院附設居家護理所","南投縣","南投市","大庄路179號","南投縣南投市大庄路179號","2","居家護理","南投縣南投市,南投縣名間區","049-2225595#1923","049-2225595#1924","http://www2.cch.org.tw/nyweb/","601687@cch.org.tw","6","4",
"埔里醫療財團法人埔里基督教醫院附設居家護理所","南投縣","埔里鎮","鐵山路1號","南投縣埔里鎮鐵山路1號","2","居家護理","南投縣埔里鎮鎮,南投縣國姓鄉,南投縣魚池鄉,南投縣水里鄉","049-2912151#1680","049-2912947","無","hc5812@mail.pch.org.tw","2","2",
"台中榮民總醫院埔里分院附設居家護理所","南投縣","埔里鎮","14鄰榮光路1號","南投縣埔里鎮14鄰榮光路1號","2","居家護理","南投縣埔里鎮,南投縣國姓鄉,南投縣魚池鄉,南投縣仁愛鄉","049-2990833#3550","049-2424009","http://www.pulivh.gov.tw/","silulu11@yahoo.com.tw","2","3",
"臺中榮民總醫院埔里分院附設居家護理所","南投縣","埔里鎮","14鄰榮光路1號","南投縣埔里鎮14鄰榮光路1號","2","居家護理","南投縣埔里鎮.南投縣國姓鄉.南投縣魚池鄉","049-2990833#3550","049-2424009","http://www.pulivh.gov.tw/","silulu11@yahoo.com.tw","2","2",
"","南投縣","竹山鎮","集山路二段75號","南投縣竹山鎮集山路二段75號","2","居家護理","南投縣竹山鎮,南投縣集集鎮,南投縣水里鄉,南投縣名間鄉","049-2624266#36928","049-2624366","www.csshow.org.tw","cs2033@csshow.org.tw","3","3",
"","南投縣","竹山鎮","集山路二段75號","南投縣竹山鎮集山路二段75號","2","居家護理","南投縣竹山鎮","049-2624266#36928","049-2624366","www.csshow.org.tw","cs2033@csshow.org.tw","3","3",
"","南投縣","竹山鎮","集山路二段75號","南投縣竹山鎮集山路二段75號","2","居家護理","南投縣","","","","","","",
"","南投縣","竹山鎮","集山路二段75號","南投縣竹山鎮集山路二段75號","2","居家護理","","","","","","","",
"","南投縣","竹山鎮","集山路二段75號","南投縣竹山鎮集山路二段75號","2","居家護理","","","","","","","",
"竹山秀傳醫院附設居家護理所","南投縣","竹山鎮","集山路二段75號","南投縣竹山鎮集山路二段75號","2","居家護理","南投縣竹山鎮,南投縣集集鎮,南投縣水里鄉,南投縣名間鄉","049-2624266#36928","049-2624366","www.csshow.org.tw","cs2033@csshow.org.tw","3","3",
"鹿谷鄉衛生所附設居家護理所","南投縣","鹿谷鄉","中正路二段20號","南投縣鹿谷鄉中正路二段20號","2","居家護理","南投縣鹿谷鄉","049-2752002","049-2754731","http://lgu-nth.mohw.gov.tw","aaliu8916@hotmail.com","5","1",
"中寮鄉衛生所附設居家護理所","南投縣","中寮鄉","永昌街102號","南投縣中寮鄉永昌街102號","2","居家護理","南投縣中寮鄉","049-2691404","049-2692943","http://jli-nth.mohw.gov.tw","無","0","1",
