"單位名稱","地址_縣市","地址_鄉鎮市區","地址","設立地址","機構狀態","服務類型","評鑑等級","未評鑑原因","電話","傳真","單位網址","單位電子信箱","服務可提供量","許可_總床數","許可_養護床","許可_長照床","許可_安養床",
"宜蘭縣私立溫馨居老人長期照顧中心(養護型)","宜蘭縣","宜蘭市","中山路三段87號3、4樓","宜蘭縣宜蘭市中山路三段87號3、4樓","1","養護型機構","無","評鑑成績尚未公佈","?03-9362222","?03-9368666","無","無","True","49","49","0","0",
"宜蘭縣私立永安老人長期照顧中(養護型)","宜蘭縣","宜蘭市","宜興路3段109、111號","宜蘭縣宜蘭市宜興路3段109、111號","1","養護型機構","<year=102&class=3>","","?039-928063","?039-9282101","無","?zonben@hotmail.com","True","35","35","0","0",
"宜蘭縣私立寬仁養護之家","宜蘭縣","宜蘭市","舊城北路182號","宜蘭縣宜蘭市舊城北路182號","1","養護型機構","<year=102&class=3>","","?039-328639","無","無","無","True","3","3","0","0",
"宜蘭縣私立紫竹老人養護中心","宜蘭縣","宜蘭市","新興路235巷49號","宜蘭縣宜蘭市新興路235巷49號","1","養護型機構","<year=102&class=3>","","?03-9359112","無","無","無","True","18","18","0","0",
"宜蘭縣私立惠眾老人養護中心","宜蘭縣","宜蘭市","和睦路20號2樓","宜蘭縣宜蘭市和睦路20號2樓","1","養護型機構","<year=102&class=3>","","?03-9314466","無","無","無","True","28","28","0","0",
"宜蘭縣私立健康老人長期照顧中心(養護型)","宜蘭縣","宜蘭市","宜蘭區農權路3段178號3、4樓","宜蘭縣宜蘭市宜蘭市農權路3段178號3、4樓","1","養護型機構","<year=102&class=2>","","03-?9364673","無","無","無","True","38","38","0","0",
"宜蘭縣私立救仁老人養護之家","宜蘭縣","宜蘭市","舊城北路173號","宜蘭縣宜蘭市舊城北路173號","1","養護型機構","<year=102&class=3>","","?03-9328295","無","無","無","True","48","48","0","0",
"宜蘭縣私立康泰老人養護中心","宜蘭縣","羅東鎮","忠孝路50號","宜蘭縣羅東鎮忠孝路50號","1","養護型機構","<year=102&class=2>","","?03-9543628","?03-9543475","http://kang-tai.iebook.tw/","?c573379@yahoo.com.tw","True","49","49","0","0",
"宜蘭縣私立品如老人長期照顧中心(養護型)","宜蘭縣","羅東鎮","興東南路232號6樓","宜蘭縣羅東鎮興東南路232號6樓","1","養護型機構","無","評鑑成績尚未公佈","無","無","無","無","True","47","47","0","0",
"宜蘭縣私立靜心老人長期照顧中心(養護型)","宜蘭縣","羅東鎮","興東南路232號5樓","宜蘭縣羅東鎮興東南路232號5樓","1","養護型機構","無","3","03-9552379","03-9552380","無","無","True","47","47","0","0",
"宜蘭縣私立六福老人長期照顧中心(養護型)","宜蘭縣","羅東鎮","南門路37號","宜蘭縣羅東鎮南門路37號","1","養護型機構","<year=101&class=3>","","?03-9557908","?03-9548701","無","?sixhappy@kimo.com","True","18","18","0","0",
"宜蘭縣私立方舟之家養護中心","宜蘭縣","羅東鎮","南昌街53巷9號","宜蘭縣羅東鎮南昌街53巷9號","1","養護型機構","<year=104&class=3>","","無","無","無","無","True","17","17","0","0",
"宜蘭縣私立幸福老人長期照顧中心(養護型)","宜蘭縣","羅東鎮","西安街313號","宜蘭縣羅東鎮西安街313號","1","養護型機構","<year=104&class=2>","","?03-9617611","?039-617611","https://www.facebook.com/xingfu039617611","?singfu039617611@yahoo.com.tw","True","35","35","0","0",
"財團法人感恩社會福利慈善基金會承辦羅東鎮養護所","宜蘭縣","羅東鎮","維揚路132號","宜蘭縣羅東鎮維揚路132號","1","養護型機構","<year=102&class=2>","","?03-9510789","?03-9611408","http://ltlc.myweb.hinet.net/","無","True","176","176","0","0",
"宜蘭縣私立惠民老人長期照顧中心","宜蘭縣","蘇澳鎮","隘界路290巷11號","宜蘭縣蘇澳鎮隘界路290巷11號","1","養護型機構","<year=102&class=3>","","無","無","無","無","True","0","0","0","0",
"財團法人宜蘭縣私立竹林養護院","宜蘭縣","礁溪鄉","六結路149號","宜蘭縣礁溪鄉六結路149號","1","養護型機構","<year=102&class=1>","","無","無","無","無","True","100","100","0","0",
"財團法人宜蘭縣私立鴻德養護院","宜蘭縣","員山鄉","中華村冷水路17號","宜蘭縣員山鄉中華村冷水路17號","1","養護型機構","<year=102&class=3>","","?03-9231106","?03-9231365","http://www.hongder.com.tw/","?hongder.cheng@gmail.com","True","192","192","0","0",
"宜蘭縣私立悠活老人長期照顧中心(養護型)","宜蘭縣","冬山鄉","大進二路68號","宜蘭縣冬山鄉大進二路68號","1","養護型機構","無","3","無","無","無","無","True","33","33","0","0",
"宜蘭縣私立百齡老人長期照顧中心(養護型)","宜蘭縣","冬山鄉","福興東路60號","宜蘭縣冬山鄉福興東路60號","1","養護型機構","<year=102&class=3>","","?03-9592563","?03-9592893","無","?bailing93@yahoo.com.tw","True","40","40","0","0",
"宜蘭縣私立順安老人長期照顧中心(養護型)","宜蘭縣","冬山鄉","清溝村永安路393號","宜蘭縣冬山鄉清溝村永安路393號","1","養護型機構","<year=102&class=3>","","?03-9587985","?03-9588385","無","?SL19484906@yahoo.com.tw","True","49","49","0","0",
"宜蘭縣私立杏林老人長期照顧中心(養護型)","宜蘭縣","冬山鄉","清溝村永安路389號","宜蘭縣冬山鄉清溝村永安路389號","1","養護型機構","<year=102&class=3>","","?03-9588990","?03-9588385","無","?sl19484906@yahoo.com.tw","True","49","49","0","0",
"財團法人宜蘭縣私立親水園養護之家","宜蘭縣","五結鄉","季水路15巷46號","宜蘭縣五結鄉季水路15巷46號","1","養護型機構","<year=102&class=3>","","?03-9500180","?03-9500178","http://www.happyelder.org.tw/main/introduce/introduce-b100.php","?csynh7@yahoo.com.tw","True","64","64","0","0",
"宜蘭縣私立桑榆老人長期照顧中心(養護型)","宜蘭縣","五結鄉","中正路三段146巷7號","宜蘭縣五結鄉中正路三段146巷7號","1","養護型機構","<year=103&class=3>","","?03-9659696","?039-559128","無","?syufamily.42939@yahoo.com.tw","True","35","35","0","0",
"財團法人宜蘭縣私立慈愛養護院","宜蘭縣","五結鄉","親河路2段58巷78號","宜蘭縣五結鄉親河路2段58巷78號","1","養護型機構","<year=102&class=2>","","無","無","無","無","True","128","72","56","0",
"財團法人宜蘭縣私立力麗樂活老人長期照顧中心(養護型)","宜蘭縣","五結鄉","中正路三段21號2-6樓","宜蘭縣五結鄉中正路三段21號2-6樓","1","養護型機構","<year=103&class=2>","","無","無","無","無","True","100","80","20","0",
"財團法人天主教靈醫會附設宜蘭縣私立聖嘉民老人長期照顧中心(養護型)","宜蘭縣","三星鄉","大隱村三星路二段103號","宜蘭縣三星鄉大隱村三星路二段103號","1","養護型機構","<year=102&class=2>","","?03-9898806","?03-9898022","http://www.sclcc.org.tw/","?allen@smh.org.tw","True","122","70","52","0",
"宜蘭縣私立安親老人養護院","宜蘭縣","三星鄉","大坑路15之4路","宜蘭縣三星鄉大坑路15之4路","1","養護型機構","<year=102&class=3>","","?03-9894085","?03-9894086","無","?anchin039@anet.net.tw","True","49","49","0","0",
"新竹縣私立弘欣老人長期照顧中心(養護型)","新竹縣","竹北市","大義里3鄰鳳岡路2段295號","新竹縣竹北市大義里3鄰鳳岡路2段295號","1","養護型機構","<year=102&class=2>","","?03-5562159","?03-5562159","http://www.hong-shin.tw/","?abcj102014770@yahoo.com.tw","True","49","49","0","0",
"新竹縣私立建安長期照顧中心(養護型)","新竹縣","竹北市","福德里7鄰博愛街298巷9號","新竹縣竹北市福德里7鄰博愛街298巷9號","1","養護型機構","<year=102&class=1>","","03-5537221","?03-5533080","http://chien-an.myweb.hinet.net/","?chienan.care@msa.hinet.net","True","49","49","0","0",
"財團法人台灣省天主教會新竹教區附設新竹縣私立長安老人養護中心","新竹縣","竹東鎮","雞林里23鄰長安路130號","新竹縣竹東鎮雞林里23鄰長安路130號","1","養護型機構","<year=102&class=4>","","?03-5943987","?03-5954472","http://www.chang-an.org.tw/","?changan.sw@msa.hinet.net","True","150","150","0","0",
"新竹縣私立慈恩養護中心","新竹縣","竹東鎮","員崠里15鄰東峰路340號","新竹縣竹東鎮員崠里15鄰東峰路340號","1","養護型機構","<year=103&class=3>","","?03-5946566","?03-5959068","無","?darrenwfg@yahoo.com.tw","True","37","37","0","0",
"新竹縣私立新埔家園長期照顧中心(養護型)","新竹縣","新埔鎮","關埔路水車頭段338號","新竹縣新埔鎮關埔路水車頭段338號","1","養護型機構","<year=102&class=2>","","?03-5888893","?03-5887129","https://www.facebook.com/HsinPuGarden","?philip84000@gmail.com","True","47","43","0","0",
"財團法人台灣省私立桃園仁愛之家附設新竹縣私立新埔長期照顧中心(養護型)","新竹縣","新埔鎮","旱坑里18鄰義民路1段566巷73號","新竹縣新埔鎮旱坑里18鄰義民路1段566巷73號","1","養護型機構","<year=103&class=1>","","?03-5886460","?03-5886483","http://www.tych.org.tw/xp/index.htm","無","True","200","80","60","0",
"新竹縣私立萱苑養護中心","新竹縣","關西鎮","北斗里11鄰光復路160號","新竹縣關西鎮北斗里11鄰光復路160號","1","養護型機構","<year=103&class=4> ","","?03-5870018","?03-5171853","http://www.care-myweb.com.tw/","?care0857@yahoo.com.tw","True","45","45","0","0",
"新竹縣私立長春長期照顧中心","新竹縣","湖口鄉","達生路326號","新竹縣湖口鄉達生路326號","1","養護型機構","<year=103&class=2>","","?03-5996854","?03-5907994","無","?cc15570605@yahoo.com.tw","True","49","49","0","0",
"新竹縣私立勝光長期照顧中心(養護型)","新竹縣","湖口鄉","湖鏡村3鄰八德路2段10號","新竹縣湖口鄉湖鏡村3鄰八德路2段10號","1","養護型機構","<year=102&class=2>","","?03-5692978","?03-5692976","無","?shengguang98@gmail.com","True","45","45","0","0",
"新竹縣私立新湖長期照顧中心(養護型)","新竹縣","湖口鄉","信義村千湖路38巷20號3樓","新竹縣湖口鄉信義村千湖路38巷20號3樓","1","養護型機構","<year=102&class=3>","","?03-5997808","?03-5906214","無","無","True","48","48","0","0",
"新竹縣私立竹光長期照顧中心(養護型)","新竹縣","湖口鄉","信義村千湖路38巷20號1-2樓","新竹縣湖口鄉信義村千湖路38巷20號1-2樓","1","養護型機構","<year=102&class=3>","","?03-5997808","?03-5906214","無","?shing_66681@yahoo.com.tw","True","48","48","0","0",
"新竹縣私立康福長期照顧中心(養護型)","新竹縣","新豐鄉","後湖村11鄰十一股12之1號","新竹縣新豐鄉後湖村11鄰十一股12之1號","1","養護型機構","<year=102&class=1>","","?03-5688925","?03-5688725","http://kangfu.tw","無","True","64","49","0","0",
"新竹縣私立廣慈長期照顧中心(養護型)","新竹縣","新豐鄉","鳳坑村8鄰坑子口720之3號","新竹縣新豐鄉鳳坑村8鄰坑子口720之3號","1","養護型機構","<year=102&class=1>","","?03-5577407","?03-5573589","無","?li.tsz@msa.hinet.net","True","49","49","0","0",
"新竹縣私立立慈養護中心","新竹縣","新豐鄉","鳳坑村8鄰坑子口720之2號","新竹縣新豐鄉鳳坑村8鄰坑子口720之2號","1","養護型機構","<year=103&class=2>","","?03-5571694","?03-5573589","http://ken010.myweb.hinet.net/","?li.tsz@msa.hinet.net","True","49","49","0","0",
"財團法人新竹縣私立保順養護中心","新竹縣","芎林鄉","石潭村10鄰福昌街134巷19號","新竹縣芎林鄉石潭村10鄰福昌街134巷19號","1","養護型機構","<year=102&class=2>","","?03-5922299","?03-5928487","http://www.botree.org.tw/","?bo.tree@msa.hinet.net","True","200","200","0","0",
"新竹縣私立瑪琍亞養護中心","新竹縣","芎林鄉","秀湖村5鄰富林路1段399巷21號","新竹縣芎林鄉秀湖村5鄰富林路1段399巷21號","1","養護型機構","<year=103&class=3>","","?03-5937055","?03-5933073","無","?maria19@seed.net.tw","True","32","32","0","0",
"財團法人台灣省私立桃園仁愛之家附設苗栗老人養護中心","苗栗縣","苗栗市","新東街115巷2號","苗栗縣苗栗市新東街115巷2號","1","養護型機構","<year=102&class=3>","","037-325720　","037-321679","http://www.tych.org.tw/ml/index.htm","yumay0313@yahoo.com.tw","True","164","164","0","0",
"苗栗社區老人安養中心(戊山園)","苗栗縣","苗栗市","南勢里新勝七之一號","苗栗縣苗栗市南勢里新勝七之一號","1","養護型機構","<year=102&class=2>","","?037-330022","?037-333871","http://www.haiching.org.tw/","?haiching188@gmail.com","True","100","93","0","7",
"苗栗縣私立大安居老人長期照顧中心-養護型","苗栗縣","苗栗市","上苗里14鄰建民街60號5樓","苗栗縣苗栗市上苗里14鄰建民街60號5樓","1","養護型機構","<year=104&class=2>","","?037-268615#79651","?037-268400","無","?cz13@dachien.com.tw","True","48","48","0","0",
"苗栗縣苑裡社區老人養護中心","苗栗縣","苑裡鎮","石鎮里石鎮34-5號","苗栗縣苑裡鎮石鎮里石鎮34-5號","1","養護型機構","<year=102&class=2>","","?037-743433","?037-743890","http://www.haiching.org.tw/donate.php","?miaoli.hc@gmail.com","True","108","108","0","0",
"財團法人海青老人養護中心","苗栗縣","通霄鎮","坪頂里15鄰142-5號","苗栗縣通霄鎮坪頂里15鄰142-5號","1","養護型機構","<year=104&class=2>","","?037-743433","?037-783411","無","?hai.chents@gmail.com","True","150","150","0","0",
"私立美麗家園老人長期照顧中心-養護型","苗栗縣","竹南鎮","環區路3段69號1-6樓","苗栗縣竹南鎮環區路3段69號1-6樓","1","養護型機構","<year=104&class=3>","","?037-480588","?037-479537","無","?sweetly.house@msa.hinet.net","True","49","37","12","0",
"苗栗縣私立聖亞社區養護中心","苗栗縣","頭份鎮","頭份區大勇街66號","苗栗縣頭份鎮頭份區大勇街66號","1","養護型機構","<year=104&class=2>","","?037-691624","?037-681945","https://www.facebook.com/%E8%8B%97%E6%A0%97%E7%B8%A3%E7%A7%81%E7%AB%8B%E8%81%96%E4%BA%9E%E7%A4%BE%E5%8D%80%E9%A4%8A%E8%AD%B7%E4%B8%AD%E5%BF%83-408585569183926/","?sy1@sy-mail.net","True","49","49","0","0",
"苗栗縣私立頭份老人養護中心","苗栗縣","頭份鎮","頭份區蟠桃里6鄰建國路2段271號","苗栗縣頭份鎮頭份區蟠桃里6鄰建國路2段271號","1","養護型機構","<year=104&class=3>","","?037-596376","?037-590166","無","?hummer.gm@msa.hinet.net","True","49","49","0","0",
"苗栗縣私立誠意老人長期照顧中心-養護型","苗栗縣","頭份鎮","頭份區後庄里7鄰中央路921號","苗栗縣頭份鎮頭份區後庄里7鄰中央路921號","1","養護型機構","<year=104&class=2>","","?037-633220","?037-611152","無","?chengyi.w633220@msa.hinet.net","True","49","49","0","0",
"苗栗縣私立慈愛老人長期照顧中心(養護型)","苗栗縣","頭份鎮","頭份區民生里1鄰銀河南路195巷2號","苗栗縣頭份鎮頭份區民生里1鄰銀河南路195巷2號","1","養護型機構","<year=104&class=3>","","?037-590151","?037-685108","無","?chiai590151@yahoo.com.tw","True","48","48","0","0",
"苗栗縣私立邦群老人長期照顧中心 (養護型）","苗栗縣","頭份鎮","頭份區蟠桃里6鄰建國路2段271號2樓","苗栗縣頭份市蟠桃里6鄰建國路2段271號2樓","1","養護型機構","無","102.11.20設立","?037-696555","?037-690359","無","?hummer.gm@msa.hinet.net","True","49","49","0","0",
"苗栗縣私立振群老人長期照顧中心（養護型）","苗栗縣","頭份鎮","頭份區蟠桃里6鄰大勇街61號3樓","苗栗縣頭份市蟠桃里6鄰大勇街61號3樓","1","養護型機構","無","102.11.20設立","無","無","無","無","True","49","49","0","0",
"苗栗縣私立聖庭老人長期照顧中心-養護型","苗栗縣","頭份鎮","頭份區上興里6鄰吉祥路262號","苗栗縣頭份鎮頭份區上興里6鄰吉祥路262號","1","養護型機構","<year=104&class=2>","","?037-685608","?037-685609","無","?sy.a670722@msa.hinet.net","True","49","31","18","0",
"苗栗縣私立清暉老人養護中心","苗栗縣","南庄鄉","員林村15鄰屯營63-1號","苗栗縣南庄鄉員林村15鄰屯營63-1號","1","養護型機構","<year=104&class=3>","","?037-831588","?037-832442","無","?j0972054141@yahoo.com.tw","True","49","44","5","0",
"衛生福利部彰化老人養護中心","彰化縣","彰化市","桃源里虎崗路1號","彰化縣彰化市桃源里虎崗路1號","1","養護型機構","<year=102&class=1>","","?04-7258131","無","http://chnh.mohw.gov.tw","sapgo012@ms1.gsn.gov.tw","True","360","204","96","0",
"彰化縣私立吉祥老人養護中心","彰化縣","彰化市","永福里光復路25號2_4樓","彰化縣彰化市永福里光復路25號2_4樓","1","養護型機構","<year=102&class=2>","","?04-7299727~8","?04-7299726","無","relax2266@yahoo.com.tw","True","49","49","0","0",
"彰化縣私立新仁愛老人養護中心","彰化縣","彰化市","延平里延平路475巷9號1_2樓","彰化縣彰化市延平里延平路475巷9號1_2樓","1","養護型機構","<year=102&class=2>","","?04-7119597","?04-7127797","無","sni7119597@yahoo.com.tw","True","10","10","0","0",
"彰化縣私立鈺燕老人養護中心","彰化縣","彰化市","阿夷里金馬路一段595號2_3樓","彰化縣彰化市阿夷里金馬路一段595號2_3樓","1","養護型機構","<year=103&class=3>","","?04-7276552","?04-7294465","無","zerlina99@hotmail.com","True","22","22","0","0",
"彰化縣私立全祥老人養護中心","彰化縣","彰化市","台鳳里互助一街5巷95號1樓","彰化縣彰化市台鳳里互助一街5巷95號1樓","1","養護型機構","<year=103&class=2>","","?047371619","?04-7382453","無","forever9499@yahoo.com.tw","True","10","6","4","0",
"財團法人台灣省私立台中仁愛之家附設彰化縣私立慈惠老人養護中心","彰化縣","彰化市","中正里中民街100號","彰化縣彰化市中正里中民街100號","1","養護型機構","<year=102&class=3>","","04-7276668","04-7226668","https://sites.google.com/site/tchopth/Home","cihhueinh@gmail.com","True","212","182","30","0",
"彰化縣私立群燕老人養護中心","彰化縣","彰化市","平和里林森路157號","彰化縣彰化市平和里林森路157號","1","養護型機構","<year=103&class=2>","","04-7610988","04-7614688","無","zerlina99@hotmail.com","True","35","28","7","0",
"彰化縣私立和德老人長期照顧中心(養護型)","彰化縣","彰化市","東芳里永芳路58號","彰化縣彰化市東芳里永芳路58號","1","養護型機構","<year=104&class=3>","","04-7637958","04-7638508","無","hode1115@hotmail.com","True","49","40","9","0",
"彰化縣私立和慷老人養護中心","彰化縣","和美鎮","雅溝里鹿和路5段301巷25號","彰化縣和美鎮雅溝里鹿和路5段301巷25號","1","養護型機構","<year=104&class=3>","","04-7560007","04-7564948","無","with0501@yahoo.com.tw","True","34","24","10","0",
"彰化縣私立大眾老人養護中心","彰化縣","和美鎮","源埤里德南路18號","彰化縣和美鎮源埤里德南路18號","1","養護型機構","<year=104&class=3>","","04-7626552","04-7514243","無","content6552@gmail.com;cct.nursing.house@gmail.com","True","25","13","12","0",
"彰化縣私立主光老人養護中心","彰化縣","伸港鄉","新港村忠孝路31號","彰化縣伸港鄉新港村忠孝路31號","1","養護型機構","<year=104&class=1>","","?04-7980892","?04-7981095","http://www.songbor.org.tw/","?tknh7437@yahoo.com.tw","True","48","24","24","0",
"彰化縣私立文祥老人長期照顧中心(養護型)","彰化縣","福興鄉","秀厝村秀安二街112巷77號","彰化縣福興鄉秀厝村秀安二街112巷77號","1","養護型機構","無","3","?04-77881015","?04-7778147","無","?wenxiang7577@yahoo.com","True","48","48","0","0",
"彰化縣私立立安老人長期照顧中心(養護型)","彰化縣","秀水鄉","鶴明村明山街70-2號","彰化縣秀水鄉鶴明村明山街70-2號","1","養護型機構","無","3","04-7685493","04-7685493","無","lian06180@gmail.com","True","14","14","0","0",
"彰化縣私立賜福老人長期照顧中心(養護型)","彰化縣","秀水鄉","陜西村水尾巷2號","彰化縣秀水鄉陜西村水尾巷2號","1","養護型機構","<year=103&class=3>","","?04-7697439","?04-7686831","無","?cbcm168@yahoo.com.tw","True","35","30","5","0",
"彰化縣私立寶贊老人養護中心","彰化縣","秀水鄉","福安村民意街165巷19號","彰化縣秀水鄉福安村民意街165巷19號","1","養護型機構","<year=104&class=2>","","?04-7680316","?04-7680632","無","poptzahn@yahoo.com.tw","True","29","29","0","0",
"彰化縣私立龍慶老人養護中心","彰化縣","花壇鄉","三春村後厝2巷41弄3號","彰化縣花壇鄉三春村後厝2巷41弄3號","1","養護型機構","<year=103&class=3>","","04-7878407","04-7872759","無","gi.ho@msa.hinet.net","True","48","48","0","0",
"財團法人彰化縣私立愛如心老人養護中心","彰化縣","芬園鄉","舊社村中興路376號","彰化縣芬園鄉舊社村中興路376號","1","養護型機構","<year=102&class=3>","","?049-2520987","?049-2523991","http://ars.myweb.hinet.net/","?ars.love@msa.hinet.het","True","77","39","38","0",
"彰化縣私立芬園老人養護中心","彰化縣","芬園鄉","大竹村大彰路一段458號","彰化縣芬園鄉大竹村大彰路一段458號","1","養護型機構","<year=103&class=3>","","04-8590760","04-8591158","無","a8590760@yahoo.com.tw","True","36","27","9","0",
"彰化縣私立惠親老人養護中心","彰化縣","員林鎮","員林區崙雅里崙雅巷5-27號","彰化縣員林市崙雅里崙雅巷5-27號","1","養護型機構","<year=103&class=2>","","04-8310331","04-8372580","無","porsche537@yahoo.com.tw","True","49","29","20","0",
"財團法人彰化縣私立廣成社會福利慈善事業基金會附設老人安養中心","彰化縣","員林鎮","員水路1段102巷76號","彰化縣員林鎮員水路1段102巷76號","1","養護型機構,安養服務","<year=102&class=2>","","04-8337536","04-8337525","http://kuangcheng.org.tw/","kc8337525@yahoo.com.tw","true","101","45","","56",
"彰化縣私立聖榕園老人長期照顧中心(養護型)","彰化縣","溪湖鎮","東溪里榕樹路130號","彰化縣溪湖鎮東溪里榕樹路130號","1","養護型機構","<year=104&class=3>","","04-8822022","04-8822320","無","kevin29878480@gmail.com","True","44","41","3","0",
"彰化縣私立新溪湖老人長期照顧中心(養護型)","彰化縣","溪湖鎮","媽厝里湳底路89-38號","彰化縣溪湖鎮媽厝里湳底路89-38號","1","養護型機構","<year=104&class=2>","","?04-8821991","?04-8850359","無","?sihunh@yahoo.com.tw","True","43","31","12","0",
"彰化縣私立好修老人長期照顧中心(養護型)","彰化縣","埔鹽鄉","好修村3鄰員鹿路二段170","彰化縣埔鹽鄉好修村3鄰員鹿路二段170","1","養護型機構","<year=104&class=2>","","?04-8654888","?04-8654988","無","?hx8654888@gmail.com","True","49","49","0","0",
"彰化縣私立羅厝老人長期照顧中心(養護型)","彰化縣","埔心鄉","羅厝村羅永路49-8號","彰化縣埔心鄉羅厝村羅永路49-8號","1","養護型機構","<year=102&class=1>","","?04-8285720","?04-8284572","無","ufu8285720@yahoo.com.tw","True","41","33","8","0",
"彰化縣私立埔心老人養護中心","彰化縣","埔心鄉","舊館村興霖路577號","彰化縣埔心鄉舊館村興霖路577號","1","養護型機構","<year=103&class=2>","","?04-8282932","?04-8298952","無","?poosin1123@hotmail.com","True","49","49","0","0",
"彰化縣私立迦南老人長期照護中心(養護型)","彰化縣","埔心鄉","南館村四湳路383巷30號","彰化縣埔心鄉南館村四湳路383巷30號","1","養護型機構","<year=102&class=2>","","04-8281278","04-8282632","http://canaanhome.net/","canaan2011@hotmail.com.tw","True","49","34","15","0",
"彰化私立友福長期照顧中心(養護型)","彰化縣","埔心鄉","羅厝村羅永路49-9號1樓","彰化縣埔心鄉羅厝村羅永路49-9號1樓","1","養護型機構","<year=103&class=1>","","?04-8285720","?04-8284572","無","?ufu8285720@yahoo.com.tw","True","45","45","0","0",
"彰化縣私立愛心老人養護中心","彰化縣","永靖鄉","崙美村獨?路2段205號","彰化縣永靖鄉崙美村獨?路2段205號","1","養護型機構","<year=103&class=3>","","04-8236847","?04-8237847","無","?popai629@yahoo.com.tw","True","44","44","0","0",
"財團法人彰化縣私立葳群公益慈善事業基金會附設彰化縣私立葳群老人長期照顧中心(養護型)","彰化縣","永靖鄉","福興村永福路二段218號","彰化縣永靖鄉福興村永福路二段218號","1","養護型機構","<year=102&class=3>","","04-8246888","04-8230799","無","weichun8246888@gmail.com","True","186","156","30","0",
"彰化縣私立一尚安老人養護中心","彰化縣","社頭鄉","社頭村中山路三段60巷288弄60號","彰化縣社頭鄉社頭村中山路三段60巷288弄60號","1","養護型機構","<year=104&class=2>","","?04-8736035","?04-8724757","無","jassie0935499718@yahoo.com.tw","True","41","33","8","0",
"財團法人彰化縣私立珍瑩老人養護中心","彰化縣","社頭鄉","仁和村山腳路二段726巷23號","彰化縣社頭鄉仁和村山腳路二段726巷23號","1","養護型機構","<year=102&class=2>","","?04-8721297","?04-8723693","無","?jiss.budd@msa.hinet.net","True","45","45","0","0",
"彰化縣私立北斗老人養護中心","彰化縣","北斗鎮","東光里地政路17號","彰化縣北斗鎮東光里地政路17號","1","養護型機構","<year=103&class=2>","","?04-8877631","?04-8874722","無","?chumg18@yahoo.com.tw","True","48","48","0","0",
"財團法人彰化縣私立慈恩老人養護中心","彰化縣","二林鎮","華崙里光復路61巷20號","彰化縣二林鎮華崙里光復路61巷20號","1","養護型機構","<year=102&class=2>","","?04-8681199","?04-8681379","http://www.caress.org.tw/","sn8681199@yahoo.com.tw","True","396","143","55","198",
"彰化縣私立田尾老人養護中心","彰化縣","田尾鄉","睦宜村聖德巷261號","彰化縣田尾鄉睦宜村聖德巷261號","1","養護型機構","<year=104&class=2>","","?04-8831262","?04-8834825","無","?twcare910218@yahoo.com.tw","True","40","40","0","0",
